,predict_data,mse,rmse,mape,shap,smooth,skip
0,"[ 14.087507  26.992615  35.61218   38.416386  44.888718  46.767044
  48.544468  59.3579    65.86176   63.566036  66.9936    82.964714
  88.5265    82.082855  85.87932  103.628624 106.492195 113.105995
 105.59647  110.67437  120.755486 125.35558  125.257034 118.4503
 122.48229  135.97372  133.09189  123.658875 131.97354  139.44125
 144.75322  146.0315   146.1726   141.43298  151.12401  155.69658
 145.6047   150.62212  157.25731  153.64006  161.47002  163.4884
 149.36545  155.69933  154.00568  158.74045  151.75525  154.91685
 153.5306   143.1967   141.64825  137.49484  144.23088  145.25568
 143.73412  139.37341  136.61671  128.64545  132.92589  130.34708
 107.79373  114.81484  117.088455 126.89257  115.22134  102.621704
  99.68067  109.01829  104.5841   102.734314  90.78186   97.35185
  85.243965  86.44929   89.28873   81.62098   71.61921   71.85502
  65.881454  67.30035   65.13866   66.93026   57.642117  60.033607
  56.20454   48.471046  47.881065  53.254944  45.815582  53.385902
  49.476875  35.923653  33.177635  39.65869   28.007683  18.348392
  31.55253   29.211882  25.644321  25.592422  22.610023  20.714045
  22.167675  13.851237  15.70121   12.616364  14.337496  14.366131
  19.067446  21.118143   6.535313  11.669391  12.596584  20.312765
   7.368535   7.267564   8.805899   6.58863    8.725773  18.716822]",3232.7057652195613,56.856888458827584,0.7254824099735078,0.7325317982812396,weighted3,1
1,"[  8.927753   21.210287   28.548214   30.307995   36.055187   37.49712
  38.982872   48.893448   54.678368   52.834724   55.605415   70.59098
  75.90547    69.02666    72.548965   89.47262    92.297485   99.17633
  91.55465    96.54894   106.40571   110.450195  110.926994  104.53167
 108.49511   121.38436   118.84568   109.91735   118.18663   125.097244
 130.41396   132.1088    132.32431   127.708786  137.74083   142.35533
 132.63084   137.6286    144.83047   141.8048    149.72183   152.10684
 139.2775    146.00258   144.17426   149.04785   142.28102   145.9504
 145.1279    135.65097   134.05646   130.3753    137.26776   138.76271
 136.85883   133.05623   130.478     123.14646   128.04361   125.75447
 103.466934  110.64105   113.41043   123.143105  111.98306    99.92299
  97.23067   106.43062   102.57217   100.16742    88.7094     95.67925
  83.60795    85.39298    88.07603    80.964516   70.737335   71.81495
  65.88151    67.11594    65.53764    67.24107    57.3675     59.6224
  55.70928    47.916477   47.1395     53.301083   45.888813   52.969975
  49.40027    35.48843    32.79664    39.711746   27.728882   18.948877
  31.628733   29.319983   25.541086   25.936659   21.98729    19.774036
  21.305315   12.905068   14.491929   12.035635   13.399791   13.075949
  17.646452   19.105436    4.6313987   9.161815    9.971517   17.326744
   4.730083    4.2626257   4.791442    2.2558355   4.451915   13.040062 ]",2330.175631819634,48.271892772291764,0.8101912177503539,0.39342218336750845,weighted3,1
2,"[5.10677147e+00 1.69217682e+01 2.33295822e+01 2.43137074e+01
 2.95751724e+01 3.06929035e+01 3.19940758e+01 4.12756042e+01
 4.65762367e+01 4.51072998e+01 4.74157600e+01 6.17694397e+01
 6.69255905e+01 5.97880669e+01 6.31038704e+01 7.94580383e+01
 8.22975311e+01 8.94407425e+01 8.17671661e+01 8.67684555e+01
 9.64934845e+01 1.00159698e+02 1.01075989e+02 9.50317688e+01
 9.89940033e+01 1.11437981e+02 1.09138069e+02 1.00581230e+02
 1.08872314e+02 1.15356667e+02 1.20632690e+02 1.22613403e+02
 1.22910950e+02 1.18398369e+02 1.28640030e+02 1.33289581e+02
 1.23772980e+02 1.28717911e+02 1.36285660e+02 1.33595139e+02
 1.41508667e+02 1.44100296e+02 1.32147217e+02 1.39061829e+02
 1.37139267e+02 1.42033875e+02 1.35391983e+02 1.39367310e+02
 1.38903442e+02 1.29991470e+02 1.28287842e+02 1.24897736e+02
 1.31819565e+02 1.33579987e+02 1.31387634e+02 1.27942375e+02
 1.25431877e+02 1.18518143e+02 1.23835007e+02 1.21736084e+02
 9.95810242e+01 1.06874344e+02 1.09950546e+02 1.19601646e+02
 1.08776863e+02 9.70780334e+01 9.45413589e+01 1.03591911e+02
 1.00157440e+02 9.73503571e+01 8.62554245e+01 9.34848328e+01
 8.14635544e+01 8.37018280e+01 8.62651825e+01 7.95738983e+01
 6.92165680e+01 7.09360657e+01 6.50799942e+01 6.62203598e+01
 6.51094437e+01 6.67774582e+01 5.65620041e+01 5.87564964e+01
 5.48481407e+01 4.70443497e+01 4.62114067e+01 5.30148888e+01
 4.56570816e+01 5.24301605e+01 4.91290207e+01 3.50194244e+01
 3.24528122e+01 3.97226486e+01 2.75334110e+01 1.94643764e+01
 3.18003540e+01 2.95674133e+01 2.56214199e+01 2.63981514e+01
 2.17524166e+01 1.93180161e+01 2.09557056e+01 1.25228291e+01
 1.39459057e+01 1.18921890e+01 1.30244579e+01 1.24290800e+01
 1.69726772e+01 1.79535370e+01 3.57291818e+00 7.70702600e+00
 8.38809586e+00 1.55115099e+01 3.12535667e+00 2.42720509e+00
 2.17256570e+00 2.72170808e-02 1.62527788e+00 9.18413734e+00]",1757.7261327971864,41.925244576474284,8.353828272992194,-4.158722230350563,weighted3,1
3,"[3.34586740e+00 1.48249311e+01 2.06591339e+01 2.11359692e+01
 2.61634617e+01 2.70533485e+01 2.82563438e+01 3.71488571e+01
 4.21948853e+01 4.10187721e+01 4.30161858e+01 5.70863686e+01
 6.21265373e+01 5.48914223e+01 5.80528908e+01 7.40460815e+01
 7.69439163e+01 8.43043823e+01 7.66237183e+01 8.16940689e+01
 9.13216553e+01 9.47595673e+01 9.59509430e+01 9.01960602e+01
 9.41592102e+01 1.06296844e+02 1.04096252e+02 9.57649918e+01
 1.04110893e+02 1.10291496e+02 1.15432610e+02 1.17512161e+02
 1.17852074e+02 1.13402603e+02 1.23670731e+02 1.28337448e+02
 1.18841614e+02 1.23665382e+02 1.31365768e+02 1.28695587e+02
 1.36495712e+02 1.39090652e+02 1.27545105e+02 1.34422623e+02
 1.32429504e+02 1.37217514e+02 1.30635574e+02 1.34675583e+02
 1.34368286e+02 1.25714340e+02 1.23829964e+02 1.20572037e+02
 1.27403313e+02 1.29212906e+02 1.26879509e+02 1.23600731e+02
 1.21070633e+02 1.14385201e+02 1.19907066e+02 1.17918274e+02
 9.58402557e+01 1.03226906e+02 1.06392288e+02 1.15988373e+02
 1.05352455e+02 9.38697968e+01 9.14014511e+01 1.00292038e+02
 9.71637955e+01 9.41723175e+01 8.33183365e+01 9.06992874e+01
 7.87628174e+01 8.13053665e+01 8.38037567e+01 7.74155426e+01
 6.70642624e+01 6.92184753e+01 6.35045776e+01 6.46653519e+01
 6.39067879e+01 6.56167526e+01 5.53311996e+01 5.75367279e+01
 5.37425117e+01 4.59988403e+01 4.52556458e+01 5.25319557e+01
 4.52593956e+01 5.19075356e+01 4.87773323e+01 3.46862793e+01
 3.23138084e+01 3.98320427e+01 2.75726967e+01 2.00828972e+01
 3.22529030e+01 3.01412849e+01 2.60743103e+01 2.71568890e+01
 2.21266136e+01 1.95682526e+01 2.13722343e+01 1.29494190e+01
 1.43387890e+01 1.23964491e+01 1.34408998e+01 1.26535778e+01
 1.73128357e+01 1.79004097e+01 3.61574244e+00 7.58329582e+00
 8.11697578e+00 1.51605444e+01 2.86813498e+00 2.09783649e+00
 1.27795100e+00 2.72170808e-02 6.16137445e-01 7.52789068e+00]",1448.1152471463472,38.054109464634,8.039925442938914,-3.287806755470529,weighted3,1
4,"[1.10084876e-01 1.12627544e+01 1.62257347e+01 1.59853134e+01
 2.06921921e+01 2.13700447e+01 2.24630127e+01 3.08375359e+01
 3.54021492e+01 3.46539078e+01 3.62580109e+01 5.01291847e+01
 5.49011688e+01 4.77510605e+01 5.07256622e+01 6.62740021e+01
 6.94839706e+01 7.70804672e+01 6.94648972e+01 7.46824646e+01
 8.43033524e+01 8.76031876e+01 8.91331635e+01 8.37550125e+01
 8.77479095e+01 9.96405945e+01 9.76202469e+01 8.96118164e+01
 9.80596390e+01 1.03926147e+02 1.08956581e+02 1.11178940e+02
 1.11556038e+02 1.07189720e+02 1.17412056e+02 1.22103226e+02
 1.12690872e+02 1.17322174e+02 1.25089928e+02 1.22427399e+02
 1.30188690e+02 1.32798172e+02 1.21639526e+02 1.28534378e+02
 1.26367401e+02 1.31070587e+02 1.24479362e+02 1.28575943e+02
 1.28590347e+02 1.20299828e+02 1.18295380e+02 1.15316422e+02
 1.22198120e+02 1.24123917e+02 1.21668221e+02 1.18679459e+02
 1.16102737e+02 1.09704254e+02 1.15488548e+02 1.13751846e+02
 9.18293915e+01 9.93692169e+01 1.02902763e+02 1.12554764e+02
 1.02221344e+02 9.11072235e+01 8.88534698e+01 9.76433182e+01
 9.49879227e+01 9.19131241e+01 8.13186111e+01 8.89838333e+01
 7.69828873e+01 7.99360657e+01 8.25060425e+01 7.64699249e+01
 6.60190887e+01 6.87154236e+01 6.31660500e+01 6.43982544e+01
 6.40247040e+01 6.57517929e+01 5.53240013e+01 5.74752617e+01
 5.37470551e+01 4.60657845e+01 4.53289948e+01 5.30975533e+01
 4.58517799e+01 5.22441444e+01 4.92294960e+01 3.49772911e+01
 3.27300415e+01 4.05079842e+01 2.81085491e+01 2.11389389e+01
 3.30667610e+01 3.10120125e+01 2.67505054e+01 2.80297623e+01
 2.24071121e+01 1.97014771e+01 2.15011425e+01 1.30512819e+01
 1.42758465e+01 1.24673166e+01 1.33978577e+01 1.21802254e+01
 1.69998074e+01 1.70270424e+01 2.70726800e+00 6.46462917e+00
 6.72764921e+00 1.35549650e+01 1.28613806e+00 3.86523992e-01
 2.72170808e-02 2.72170808e-02 2.72170808e-02 3.89787865e+00]",1111.9099287797906,33.345313445517206,18.70023523323709,-1.5613741701718298,weighted3,1
5,"[2.72170808e-02 9.76078224e+00 1.44143610e+01 1.38345871e+01
 1.84198227e+01 1.90118923e+01 2.00722847e+01 2.82310390e+01
 3.26690979e+01 3.21912270e+01 3.36150780e+01 4.74006119e+01
 5.20708351e+01 4.49613190e+01 4.78649101e+01 6.32285881e+01
 6.65583954e+01 7.43322601e+01 6.67843094e+01 7.20789490e+01
 8.16733017e+01 8.49337997e+01 8.66035995e+01 8.14612122e+01
 8.54835587e+01 9.71897507e+01 9.52084961e+01 8.73056717e+01
 9.58999329e+01 1.01545097e+02 1.06438705e+02 1.08677429e+02
 1.09069565e+02 1.04732819e+02 1.14877617e+02 1.19566040e+02
 1.10078766e+02 1.14589012e+02 1.22398811e+02 1.19565109e+02
 1.27215645e+02 1.29769257e+02 1.18754066e+02 1.25572098e+02
 1.23323982e+02 1.27892662e+02 1.21276062e+02 1.25345413e+02
 1.25444641e+02 1.17253159e+02 1.15053459e+02 1.12105865e+02
 1.18937027e+02 1.20877701e+02 1.18314873e+02 1.15397087e+02
 1.12755592e+02 1.06472519e+02 1.12400017e+02 1.10711266e+02
 8.87845612e+01 9.64477844e+01 1.00041550e+02 1.09675751e+02
 9.94564514e+01 8.84829102e+01 8.63275146e+01 9.50269775e+01
 9.26633224e+01 8.95241318e+01 7.90708389e+01 8.68332520e+01
 7.48389740e+01 7.80347672e+01 8.05837784e+01 7.47155991e+01
 6.42563095e+01 6.72548370e+01 6.18580666e+01 6.31088867e+01
 6.29907684e+01 6.47351685e+01 5.43310280e+01 5.64848061e+01
 5.28622398e+01 4.51747551e+01 4.45713310e+01 5.26127815e+01
 4.54172401e+01 5.17373009e+01 4.87720909e+01 3.45365524e+01
 3.24069099e+01 4.03713417e+01 2.78907623e+01 2.12442265e+01
 3.31109200e+01 3.10924282e+01 2.67278938e+01 2.82126408e+01
 2.23036613e+01 1.95246105e+01 2.14101753e+01 1.29304972e+01
 1.41265860e+01 1.23096275e+01 1.31900291e+01 1.17699461e+01
 1.67147923e+01 1.64361496e+01 2.12247491e+00 5.81244135e+00
 5.89595795e+00 1.26615524e+01 4.34565604e-01 2.72170808e-02
 2.72170808e-02 2.72170808e-02 2.72170808e-02 2.08683968e+00]",960.2917003386962,30.9885737061049,24.44852364660844,-9.913904191462175,weighted3,1
6,"[2.72170808e-02 1.01538925e+01 1.47537289e+01 1.40244284e+01
 1.86326694e+01 1.91809883e+01 2.02341156e+01 2.83034382e+01
 3.27680626e+01 3.24730759e+01 3.37864037e+01 4.76251907e+01
 5.22101707e+01 4.51646423e+01 4.80234375e+01 6.32960739e+01
 6.67008362e+01 7.45721054e+01 6.70860519e+01 7.24360352e+01
 8.19661484e+01 8.52332840e+01 8.69166183e+01 8.19390411e+01
 8.59353943e+01 9.75125351e+01 9.54635849e+01 8.75578995e+01
 9.62791138e+01 1.01774086e+02 1.06467834e+02 1.08588661e+02
 1.08939819e+02 1.04594627e+02 1.14556778e+02 1.19230324e+02
 1.09559967e+02 1.13925758e+02 1.21664734e+02 1.18489502e+02
 1.25970383e+02 1.28354904e+02 1.17230278e+02 1.23863419e+02
 1.21559830e+02 1.25941368e+02 1.19305740e+02 1.23221428e+02
 1.23282753e+02 1.15014969e+02 1.12589775e+02 1.09588112e+02
 1.16316742e+02 1.18166557e+02 1.15602394e+02 1.12647163e+02
 1.09934761e+02 1.03687202e+02 1.09631729e+02 1.07933876e+02
 8.60176697e+01 9.37829666e+01 9.72682953e+01 1.06902412e+02
 9.67238235e+01 8.58101501e+01 8.36923141e+01 9.23007050e+01
 9.01499557e+01 8.70741196e+01 7.66905289e+01 8.44911804e+01
 7.25496674e+01 7.58612976e+01 7.84017181e+01 7.26239700e+01
 6.22548752e+01 6.54053116e+01 6.01894569e+01 6.15005188e+01
 6.15509300e+01 6.33593216e+01 5.31247177e+01 5.53080902e+01
 5.18464394e+01 4.41846657e+01 4.37888374e+01 5.19653549e+01
 4.48334351e+01 5.11857452e+01 4.81967545e+01 3.41379585e+01
 3.21380806e+01 4.02021713e+01 2.77167797e+01 2.13249416e+01
 3.32287025e+01 3.12625446e+01 2.68393879e+01 2.84874687e+01
 2.25170746e+01 1.97194214e+01 2.17535439e+01 1.32576761e+01
 1.45301514e+01 1.25284243e+01 1.34400473e+01 1.19071436e+01
 1.70440598e+01 1.65402889e+01 2.26207995e+00 6.01483393e+00
 5.94206190e+00 1.27550774e+01 5.52312851e-01 2.72170808e-02
 2.72170808e-02 2.72170808e-02 2.72170808e-02 1.88231039e+00]",873.7167095073423,29.55869938795248,19.501174219895795,-7.885157429431709,weighted3,1
7,"[2.72170808e-02 8.98619652e+00 1.32562666e+01 1.21775417e+01
 1.66764011e+01 1.71878738e+01 1.81989441e+01 2.60415249e+01
 3.03022881e+01 3.02865047e+01 3.14033680e+01 4.52671013e+01
 4.96309433e+01 4.27537766e+01 4.55609894e+01 6.06401596e+01
 6.42871475e+01 7.22516937e+01 6.48745117e+01 7.02981491e+01
 7.98188171e+01 8.31370544e+01 8.48889694e+01 8.01465073e+01
 8.41292038e+01 9.55986633e+01 9.35681152e+01 8.57405319e+01
 9.46172791e+01 9.99354095e+01 1.04474045e+02 1.06548889e+02
 1.06857147e+02 1.02524811e+02 1.12297974e+02 1.16949265e+02
 1.07190125e+02 1.11381882e+02 1.19070473e+02 1.15628883e+02
 1.23031197e+02 1.25316994e+02 1.14160019e+02 1.20724983e+02
 1.18274704e+02 1.22541603e+02 1.15850784e+02 1.19667961e+02
 1.19878891e+02 1.11681496e+02 1.09097549e+02 1.06183495e+02
 1.12962738e+02 1.14843727e+02 1.12258362e+02 1.09413673e+02
 1.06635262e+02 1.00502274e+02 1.06567932e+02 1.04977089e+02
 8.31313019e+01 9.10543060e+01 9.47009659e+01 1.04437943e+02
 9.44080811e+01 8.36931686e+01 8.17509460e+01 9.03390350e+01
 8.85464172e+01 8.55636292e+01 7.52870407e+01 8.32448959e+01
 7.12155075e+01 7.47491379e+01 7.73694763e+01 7.17366867e+01
 6.13279762e+01 6.47426834e+01 5.96974564e+01 6.10759010e+01
 6.13324661e+01 6.31592064e+01 5.29611015e+01 5.51062126e+01
 5.17234497e+01 4.40519104e+01 4.37595825e+01 5.20925179e+01
 4.49664688e+01 5.12102928e+01 4.81782494e+01 3.40823746e+01
 3.21252975e+01 4.03265343e+01 2.77396507e+01 2.15497131e+01
 3.34054184e+01 3.14085846e+01 2.68712311e+01 2.86068764e+01
 2.23650208e+01 1.95264168e+01 2.15394516e+01 1.29860277e+01
 1.41988258e+01 1.21154556e+01 1.30124397e+01 1.11858549e+01
 1.64992867e+01 1.56577950e+01 1.30740964e+00 5.04736519e+00
 4.74445629e+00 1.14608021e+01 2.72170808e-02 2.72170808e-02
 2.72170808e-02 2.72170808e-02 2.72170808e-02 2.72170808e-02]",734.1378291793574,27.09497793280809,24.58395416640335,-1.5717001471504668,weighted3,1
8,"[2.72170808e-02 7.22773361e+00 1.11855936e+01 9.75001812e+00
 1.40849924e+01 1.45913944e+01 1.55551424e+01 2.31729832e+01
 2.72157326e+01 2.74816093e+01 2.84156036e+01 4.22275276e+01
 4.63767891e+01 3.96453209e+01 4.24385338e+01 5.73341293e+01
 6.11971016e+01 6.92500687e+01 6.19936333e+01 6.74491882e+01
 7.69697952e+01 8.03599014e+01 8.21707764e+01 7.76553192e+01
 8.16380157e+01 9.29881516e+01 9.09987869e+01 8.32340164e+01
 9.22969818e+01 9.74247284e+01 1.01849167e+02 1.03919479e+02
 1.04192314e+02 9.98723450e+01 1.09505074e+02 1.14122284e+02
 1.04304550e+02 1.08366356e+02 1.16085030e+02 1.12432571e+02
 1.19799538e+02 1.22055962e+02 1.10948929e+02 1.17529991e+02
 1.14926506e+02 1.19129410e+02 1.12376358e+02 1.16163956e+02
 1.16566086e+02 1.08485474e+02 1.05756096e+02 1.02925858e+02
 1.09815033e+02 1.11808418e+02 1.09140160e+02 1.06433472e+02
 1.03605988e+02 9.76023560e+01 1.03858879e+02 1.02355743e+02
 8.05385971e+01 8.86412277e+01 9.25034409e+01 1.02344200e+02
 9.24696960e+01 8.19559402e+01 8.02285538e+01 8.88365326e+01
 8.74260254e+01 8.44785690e+01 7.43146744e+01 8.24301605e+01
 7.02696609e+01 7.40535049e+01 7.67301788e+01 7.12221985e+01
 6.07085457e+01 6.44028931e+01 5.94981689e+01 6.08842545e+01
 6.13483162e+01 6.31448479e+01 5.29095573e+01 5.49919891e+01
 5.16342430e+01 4.38775368e+01 4.36578941e+01 5.21182899e+01
 4.49746666e+01 5.10725822e+01 4.79975204e+01 3.37728081e+01
 3.17966690e+01 4.01616287e+01 2.74079590e+01 2.13490429e+01
 3.31443405e+01 3.10543785e+01 2.64029732e+01 2.82267895e+01
 2.16490421e+01 1.87597084e+01 2.06947784e+01 1.20486135e+01
 1.31560650e+01 1.10746088e+01 1.19150343e+01 9.78940773e+00
 1.52049913e+01 1.40634108e+01 2.72170808e-02 3.28625751e+00
 2.76529884e+00 9.33628464e+00 2.72170808e-02 2.72170808e-02
 2.72170808e-02 2.72170808e-02 2.72170808e-02 2.72170808e-02]",616.9575404574447,24.838630003634353,26.57274323441816,-2.098830693003578,weighted3,1
9,"[2.72170808e-02 7.87032461e+00 1.19485331e+01 1.04562693e+01
 1.47926435e+01 1.53248320e+01 1.62706223e+01 2.38561649e+01
 2.79785690e+01 2.83713455e+01 2.92418079e+01 4.30238190e+01
 4.70924835e+01 4.03753662e+01 4.31986275e+01 5.80515480e+01
 6.18998947e+01 6.99729385e+01 6.27849236e+01 6.81882706e+01
 7.76181564e+01 8.10606918e+01 8.27875214e+01 7.83734894e+01
 8.22975922e+01 9.35215607e+01 9.14372025e+01 8.35771179e+01
 9.27961044e+01 9.77879791e+01 1.02045853e+02 1.03986176e+02
 1.04184715e+02 9.98307037e+01 1.09301529e+02 1.13878120e+02
 1.03874336e+02 1.07859337e+02 1.15592415e+02 1.11606911e+02
 1.18851746e+02 1.21000259e+02 1.09796158e+02 1.16294014e+02
 1.13638535e+02 1.17724022e+02 1.10961975e+02 1.14651329e+02
 1.15028297e+02 1.06862709e+02 1.03921211e+02 1.00995125e+02
 1.07872147e+02 1.09870796e+02 1.07163773e+02 1.04416183e+02
 1.01563652e+02 9.55946732e+01 1.01921684e+02 1.00346794e+02
 7.85015869e+01 8.67334595e+01 9.04828949e+01 1.00341560e+02
 9.04895172e+01 8.00045242e+01 7.83518448e+01 8.69416351e+01
 8.57447968e+01 8.28341522e+01 7.27100983e+01 8.08394089e+01
 6.86844101e+01 7.25492172e+01 7.51797562e+01 6.96821365e+01
 5.92010231e+01 6.29829445e+01 5.82191200e+01 5.95742836e+01
 6.01535568e+01 6.19555206e+01 5.18319931e+01 5.39040909e+01
 5.06377640e+01 4.27889175e+01 4.27544136e+01 5.12075577e+01
 4.40886154e+01 5.02020798e+01 4.70513306e+01 3.29393959e+01
 3.09762344e+01 3.94308243e+01 2.65962391e+01 2.06363716e+01
 3.24961205e+01 3.03517342e+01 2.56710796e+01 2.76341171e+01
 2.10167446e+01 1.81227417e+01 2.01464481e+01 1.14257145e+01
 1.25967245e+01 1.03785019e+01 1.12215919e+01 9.03120041e+00
 1.45450964e+01 1.32938147e+01 2.72170808e-02 2.56800699e+00
 1.93446004e+00 8.53212833e+00 2.72170808e-02 2.72170808e-02
 2.72170808e-02 2.72170808e-02 2.72170808e-02 2.72170808e-02]",585.2685550335593,24.192324299941898,27.696616994416566,-12.177608181176574,weighted3,1
