id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0,  0.           0.           0.           0.           8.952998  12.16509     16.703857    26.523918    32.067207    41.946243  54.577843    50.20482     54.111053    76.75011     86.569176  89.298416    99.820496   108.871254   109.39723    117.9661 127.02897    122.33956    142.00023    149.66826    150.90613 136.69786    160.44092    147.98338    137.02405    148.9052 155.66599    147.92812    150.69354    164.85744    146.35614 157.85063    167.03438    154.68452    148.43451    166.66681 158.50758    157.72913    167.80418    160.52295    148.02866 155.845      148.35475    136.97801    148.58907    153.37668 141.82303    160.97401    158.32434    144.02312    146.35715 155.60712    139.76958    146.53072    153.58768    141.80077 141.76242    139.67348    132.90903    135.25558    127.805016 136.10138    131.67831    131.42407    126.46166    118.7648 121.335976   122.62189    111.55605    111.89102    115.20062  98.914635   103.867546   106.23189     93.170685   102.11754 107.5207      96.77424     96.31927    103.83384     99.949905 100.17944    101.115364    99.25743     97.10381     98.16231  90.43051     73.60612     78.08656     76.392815    66.597565  66.25312     64.053925    59.37368     66.1255      62.148846  59.091972    48.50123     46.26274     52.944164    44.89253  35.09463     44.655346    33.51085     26.810558    37.079525  24.60333     19.982224    24.075993    18.918503    10.147612  11.900166    10.994029     9.027161     0.           0.93432194,3157.154,56.18855755,1.55E+15,weighted13,3,0.589383111,1440
1,  0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          9.162734   20.796915   23.331282   35.101604   43.16217  43.970863   49.953247   60.039497   51.41489    78.22447    85.10041  82.35291    72.915405  101.1107     75.26229    68.00746    83.62371  82.31721    78.9231     85.393234  101.18534    86.379906   93.64577 105.26409    96.03541    84.24745   104.560425   96.83909    98.24503 108.38273    99.10293    84.93623   103.11758    90.110085   83.30653 106.899025  108.19205    96.573784  123.97437   115.90477   103.78086 120.3452    114.55874   106.08353   128.0222    125.354385  117.34741 126.17591   121.841606  112.9806    129.55325   113.624825  121.706535 117.35183   117.13211   113.363716  105.1851    111.35166   114.587814  99.504875  101.07243   111.76115    93.54554   100.04115   107.79148  89.52594   104.025116  118.24523   100.30553   103.89123   117.81879 114.69483   115.75409   114.13622   118.23684   116.80685   127.27611 118.99217   105.88279   109.61025   108.01761   103.2813    106.10189  99.256615   97.318146  105.35434    90.02393    90.18322    80.00027  68.61608    80.453026   75.82355    54.037174   65.54498    52.931156  43.603252   47.471985   37.139034   25.9898     23.769215   13.5113125   4.022831    0.          0.          0.          0.          0.       ,1014.950298,31.8582846,5.42E+15,weighted13,3,0.783983061,1440
2,  0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.         10.552732   16.230957  18.036016   24.908903   33.65517    22.614311   55.925076   62.268715  55.929348   50.187077   80.999245   47.225773   42.62018    61.169743  54.78083    54.759987   64.02617    79.12746    66.77488    74.846535  83.87429    76.99838    66.30198    84.17026    77.00333    83.169075  88.83456    78.67629    69.24969    86.68469    70.68402    71.358086  95.58049    93.96757    88.75134   114.98935   102.5932     97.97502 117.09923   101.89901   100.775055  127.25381   115.90949   114.79479 125.85778   115.6553    109.8538    130.41492   107.970406  117.706604 111.708145  107.701126  107.66247    96.401     100.756546  105.967224  87.74721    87.75269   102.53845    82.11104    88.44927    98.7627  77.55859    92.533295  109.48855    89.06674    91.60482   108.29995 106.4849    101.9167     98.72964   109.07209   101.13319   114.57243 109.96381    94.17549    96.91741   100.70549    95.42265    97.5672  93.10551    90.27797    96.81315    81.416695   81.83637    70.203415  59.515045   73.2541     67.61038    45.451675   57.854954   43.513477  35.958748   38.229362   28.552717   16.352345   12.7622795   0.   0.          0.          0.          0.          0.          0.       ,871.129227,29.51489839,8.15E+15,weighted13,3,0.763789816,1440
3,0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.80145621e-03 1.15169537e+00 0.00000000e+00 0.00000000e+00 1.38327484e+01 2.23738880e+01 3.20156631e+01 4.10028076e+01 4.46605530e+01 5.08581848e+01 5.53762550e+01 6.08530197e+01 5.56271515e+01 8.56345520e+01 8.64262848e+01 8.55203400e+01 8.29293823e+01 1.05672203e+02 7.97865143e+01 8.13418045e+01 9.03404541e+01 9.01746826e+01 9.41227188e+01 9.62530823e+01 1.09206841e+02 1.03678665e+02 1.09705284e+02 1.15232796e+02 1.10395943e+02 1.00929131e+02 1.13305534e+02 1.08841141e+02 1.15958313e+02 1.14218079e+02 1.06568054e+02 1.00291916e+02 1.09522232e+02 9.37866516e+01 9.70684662e+01 1.14440620e+02 1.08034729e+02 1.08244751e+02 1.27292145e+02 1.12426025e+02 1.12381271e+02 1.22355629e+02 1.07276733e+02 1.09709236e+02 1.25787498e+02 1.15138123e+02 1.18174950e+02 1.20515472e+02 1.11766457e+02 1.09694229e+02 1.20115791e+02 1.00330734e+02 1.12262032e+02 1.01955704e+02 9.58561478e+01 9.68569641e+01 8.20171738e+01 8.65526657e+01 9.24587936e+01 7.41029663e+01 7.39349594e+01 8.77172394e+01 6.61320877e+01 7.15377502e+01 8.12317581e+01 5.71314354e+01 6.90186310e+01 8.39740677e+01 6.29979248e+01 6.32776642e+01 8.23113327e+01 7.48721466e+01 5.69682007e+01 6.07155075e+01 6.46862030e+01 4.87617912e+01 6.39573288e+01 5.68879433e+01 3.71539497e+01 4.49952011e+01 4.51783981e+01 3.73197975e+01 4.31212502e+01 4.28584061e+01 3.51951904e+01 4.59375610e+01 3.66366959e+01 3.14593487e+01 2.77740402e+01 2.19540787e+01 2.79580612e+01 2.74911270e+01 1.52741642e+01 2.27692890e+01 1.33905144e+01 1.30622025e+01 1.23436527e+01 6.62676048e+00 4.17643166e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00,475.6918657,21.81036143,5.48E+15,weighted13,3,0.871958778,1440
4, 23.481428  27.157816  18.344824  30.310751  31.60833   28.967049  37.03932   37.214485  36.26208   52.50733   52.73812   38.97873  49.8922    60.948185  67.39136   80.75811   79.76953   82.45614  93.46143   91.58093   93.87165   97.70115  117.05227  110.42439 119.921005 117.63498  128.05574  116.36627  122.774086 116.51336 128.3354   134.053    124.68425  136.55043  137.94672  138.06818 143.49905  139.81201  128.55655  137.2926   136.55396  140.66315 133.42647  129.60925  122.2498   125.351425 112.02952  112.8907 124.95011  114.905815 116.51442  129.85541  115.25141  115.769264 115.019005 105.89537  109.67882  111.8435   108.479256 113.01894 103.485214 102.90923  103.11743  100.332504  88.456795 102.46839  87.77697   83.33471   83.30451   66.74863   74.68962   80.3586  63.926212  65.542656  76.46139   55.743824  59.832336  67.65372  42.00905   50.41755   62.27832   42.205082  40.46974   61.28589  46.        12.670738  25.689823  18.523226   0.        12.05864   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.      ,1123.570547,33.51970386,2.24E+16,weighted13,3,0.754474487,1440
5, 36.423042   45.424255   38.80858    47.41572    53.552044   52.616238  56.28838    57.956387   59.58316    71.89152    72.68061    65.17764  72.21071    78.85892    83.90815    99.05901    92.47481    94.4949 105.84431   102.650856  102.0374    109.893074  120.51227   112.42937 127.38466   120.552055  125.73099   124.77307   126.371346  113.86533 135.19353   136.43562   123.302284  135.31398   133.99174   134.20963 140.9446    135.69421   127.51037   135.48347   136.72588   139.93503 131.34473   129.81248   125.28037   122.318115  114.344666  114.170654 118.958565  112.410255  117.28918   124.170425  114.57855   118.44547 106.378456  108.23413   112.10499   103.63144   106.857     113.504135  95.3384     98.491875  103.01054    90.29893    84.79638   100.74246  85.616516   82.21268    83.00553    68.125595   73.04882    77.376785  65.47108    66.78943    72.555695   55.463497   57.681576   60.368816  40.73063    44.51657    48.504784   36.156628   29.90023    45.229652  29.296946    0.          0.8416668   0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,1053.306479,32.45468347,2.34E+16,weighted13,3,0.773227469,1440
6, 31.194258  41.78536   38.303097  43.975094  54.47611   54.46858  54.719738  58.89758   62.1497    71.62899   74.356     72.31683  75.43899   80.63569   84.794495 100.11039   92.049     93.91755 103.13259  101.766426  99.36874  107.71568  113.272964 106.79141 123.13409  111.42413  115.94319  121.097916 115.46116  102.460434 129.27046  124.74944  112.262566 124.43545  116.700325 119.88971 127.881516 119.94543  116.30021  124.720604 126.231575 129.54794 122.00601  120.94624  120.002174 112.396515 109.18582  108.57123 106.93605  105.3704   113.10758  115.27666  110.88446  117.59976  97.31662  109.10361  111.75065   97.072426 104.5503   112.197754  89.539276  93.27288  101.49318   83.054085  81.59471   98.55349  85.19843   82.40668   84.128914  72.396416  72.246994  75.11348  67.94471   68.35047   69.2733    56.025463  57.292393  54.91031  43.049835  43.500153  39.882786  36.00335   26.329294  34.68381  21.17999    0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.      ,744.3289096,27.28239193,2.05E+16,weighted13,3,0.823769142,1440
7, 26.137432  36.326725  34.868286  38.83361   50.81032   51.494934  50.011364  55.088993  59.15925   66.845024  70.54392   70.83202  71.66472   76.83938   80.98639   95.064445  86.803024  89.13524  96.08647   95.72529   93.29537  100.64373  103.934715  99.15383 114.96331  100.56575  106.028145 112.50409  102.54396   90.85233 118.9399   111.08453  100.06682  112.18491  100.41636  105.32334 114.28955  104.678024 103.006676 112.36447  113.569466 116.549324 110.81898  109.544426 109.489555 101.204544 100.28708   98.65814  95.23719   96.6062   104.372444 105.83877  104.28402  110.9822  88.69275  105.21016  106.20037   90.56519  100.1096   106.84531  83.88807   88.02037   96.82938   77.78425   78.094086  94.61833  83.34805   81.51721   82.78446   73.95147   71.64411   73.27768  69.044365  69.28754   67.784996  57.181046  58.388508  53.46811  46.316513  46.073692  39.019653  39.617977  29.407393  33.855297  22.726503   0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.      ,543.8257045,23.32007085,1.98E+16,weighted13,3,0.859798276,1440
8, 24.779793  34.116234  33.84479   36.78211   48.893322  50.080776  47.684982  52.841457  57.314636  63.825844  67.850395  69.005905  68.45895   73.85368   78.22077   90.83627   82.608376  85.47982  90.57749   90.57867   88.68825   94.76869   97.00666   93.50551 108.23811   92.45036   99.02399  104.98852   92.67038   82.447426 110.14932  100.52083   90.79694  102.60231   88.62673   94.46711 103.88343   93.334274  92.44992  102.476906 103.32301  105.90237 101.61346  100.03898   99.873726  92.12084   92.25554   89.69264  86.1903    89.08059   96.055984  98.11435   97.97908  103.81133  81.7861   100.36789   99.95481   85.0474    95.5635   101.01838  79.065926  83.51042   91.80128   73.78137   74.83878   90.534386  80.98524   79.98374   80.40349   73.782036  70.78164   71.487305  69.06833   69.42087   66.766235  57.950344  59.34717   53.234356  48.833084  48.846367  40.3591    43.297924  33.561726  35.93751  26.728802   0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.      ,574.1947975,23.9623621,1.89E+16,weighted13,3,0.853422982,1440
9, 32.029663  40.9076    40.582767  43.194088  55.692387  56.577732  53.917072  59.314457  63.610203  69.60705   74.125275  75.63484  74.41986   79.97601   83.981964  96.04823   88.389366  91.28177  95.22526   95.7104    94.02517   99.09923  101.61985   98.410164 111.83066   96.11555  103.11893  107.71866   95.27529   85.72815 112.34084  102.40915   92.985855 103.53731   88.76251   95.40106 103.692024  92.46256   92.37273  101.4341   101.68868  104.42114  99.71479   97.36696   97.62562   88.799194  88.60798   86.262535  81.69776   83.700645  91.11739   93.07858   92.23472   97.94627  75.73569   94.19111   93.47504   78.2642    88.21861   93.54913  71.986336  75.69663   84.26994   66.067     67.13326   82.69257  73.575325  72.439285  72.8026    66.64608   63.23651   64.08417  62.15704   62.45431   59.883198  51.43121   53.35133   47.429367  43.829323  44.1152    35.54891   39.367317  30.190159  32.41257  24.028286   0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.      ,579.4429907,24.0716221,1.81E+16,weighted13,3,0.854830128,1440
