predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
 8.316637 28.820408 57.260853 38.822166 56.94765  54.07458  32.14436 25.396072 80.91938  75.16159  16.53976  43.185555,4462.3203,66.80060114,0.5791705,weighted24,12,-0.007390094,0
 6.8410444 17.20385   55.051918  31.514343  56.44634   45.626465 38.66183   35.353935  66.01707   56.646965   9.58467   98.100586 ,9530.313,97.62332445,0.68314713,weighted24,12,-0.221657558,0
20.671711 49.611355 31.711405 30.715029 44.352478 59.02491  38.559624 33.3382   81.19177  60.5775   38.991898 52.723663,5484.1353,74.05494753,0.6175553,weighted24,12,0.327650439,0
24.268581 27.279476 43.752647 24.173359 18.800587 49.451694 46.558937 41.198215 67.84241  53.78125  38.9806   67.43441 ,5718.7163,75.62219455,0.6432399,weighted24,12,0.603001623,0
23.299988 41.75279  29.32045  48.73131  54.793568 57.474792 38.027752 21.73044  34.69164  46.730328 25.438696 32.71107 ,7408.386,86.07198284,0.6863411,weighted24,12,-0.652155453,0
26.821796 34.297783 74.93588   4.103734 51.570667 45.199303 79.29392 27.497858 41.99211  64.34097  56.558044 44.336792,6210.4707,78.80653972,0.6185313,weighted24,12,-0.109954878,0
29.31491  45.084385 44.970097 38.23646  59.00613  57.760838 55.542744 50.533455 55.442738 50.624413 50.581295 46.89743 ,426.14368,20.64324773,0.251131,weighted24,12,-0.626300982,0
32.053886  15.49767   49.668037  -2.1095238 59.25261   62.615253 24.596746  38.449314  74.72807   49.19005   46.89537   36.72568  ,9283.618,96.35153431,0.6881607,weighted24,12,0.430847821,0
31.500616  52.14246   34.735023  63.04382   52.680843  48.689262 53.602715  25.845715  49.286804  31.35865   -6.2530537 96.210686 ,9588.7295,97.92205825,0.6734907,weighted24,12,-0.341878834,0
19.320662 32.676193 46.59443  21.811676 24.519289 56.90125  66.479004 33.211567 59.9236   63.57373  42.84013  51.09613 ,4104.476,64.06618511,0.4992679,weighted24,12,-0.625038211,0
15.71814  38.37146  59.464157 36.65102  40.358044 50.677174 39.78624 48.69467  58.67182  63.45343  23.088924 63.33177 ,260.57516,16.14234075,0.24698097,weighted24,12,0.14514341,0
27.70001  30.31822  46.111046 28.453558 40.496758 50.811954 54.39847 50.876072 54.789448 77.017975 49.829563 44.728416,493.54297,22.21582699,0.7037018,weighted24,12,-0.327678388,0
31.533232 38.17832  48.724705 61.56375  44.460102 42.1416   36.23531 62.79429  65.13985  63.358696  5.90062  55.84165 ,1328.5096,36.44872623,2.77915,weighted24,12,0.138503223,0
 50.11076   13.687632  51.277576  57.326447  53.192368  36.44075  24.130472  34.21574   55.343143  55.9306   -15.733685  92.2793  ,794.9409,28.19469663,0.6531174,weighted24,12,-0.085935848,0
 30.633553  26.39133   56.17042   53.560894  35.980137  42.996014  24.725073  23.377123  58.26418   46.978714 -28.113754 125.403656,1268.5082,35.61612245,0.79006815,weighted24,12,-0.122213982,0
 31.745308   22.719856   15.64141    47.057045    6.5754952  65.19303  33.527306   57.298687   76.31799    59.060135   33.79957   105.08675  ,747.4816,27.34011025,0.55929565,weighted24,12,0.272419811,0
30.4487   30.42291  23.489988 56.680054 27.339464 51.14821  32.74658 56.793346 72.2279   50.433468 12.445433 78.13644 ,739.49896,27.1937302,1.1090149,weighted24,12,0.270333092,0
 41.526665  17.103142  33.58662   42.00374   35.064827  41.10146  12.952622  37.988815  66.91791   38.25195  -13.584403 112.060715,6941.3745,83.3149117,0.69428605,weighted24,12,-0.396344128,0
 47.105953   22.683952   25.359724   34.248142   27.047237   31.74251  31.190886   21.077913   65.38809     8.3126335 -27.23383   130.43776  ,1946.9044,44.12373986,0.4717097,weighted24,12,0.24401126,0
 23.733465  18.391249  30.81071   12.252315 -14.08109   47.318497  27.0351    26.005615  68.098045  57.01893   33.119137  90.00849 ,8162.9883,90.34925723,0.7189447,weighted24,12,0.38466186,0
22.591246 30.077234 16.317144 49.875645 30.833017 60.59536  19.674555 42.221977 64.98252  64.77839  18.793575 67.98739 ,2790.239,52.82271305,0.48947105,weighted24,12,-0.458377393,0
  5.85326   26.952736  51.689804  37.679375  33.00501   43.349762  51.02081   34.72855   49.762623  53.654633  12.240311 108.3369  ,2563.222,50.62827198,0.55876744,weighted24,12,0.161345492,0
37.69187  45.79768  47.924644 37.777763 51.412834 55.0623   39.651333 47.079357 57.200974 60.347244 33.72152  48.54699 ,598.4743,24.46373447,0.2949997,weighted24,12,-0.041599344,0
37.55954  23.137022 56.005695 17.773676 17.639828 52.409916 41.05605 47.15968  55.722347 63.510338 42.810028 61.720516,5513.9644,74.25607285,0.6279947,weighted24,12,0.536310769,0
25.148975 29.255404 30.872465 30.38696  22.944572 42.866253 45.63513 63.76442  66.94969  42.903122 16.862885 51.505314,8404.539,91.67627317,0.693728,weighted24,12,0.42275571,0
29.874872  48.82288   57.026726   7.1319084  1.7687331 45.85389 50.006584  35.548428  46.474857  56.905296  32.9057    76.4792   ,18515.021,136.069914,0.76871586,weighted24,12,0.267557256,0
19.964201 39.43621  47.82401  13.524409 30.387777 59.715786 55.820133 36.577293 45.59789  72.93925  57.41472  34.009953,5988.834,77.38755704,0.60646456,weighted24,12,-0.323883899,0
13.231658 26.821533 65.00094  10.847512 26.129797 63.944416 48.23492 55.029556 46.42537  62.837193 68.69615  30.607332,6057.1567,77.82773759,0.63652724,weighted24,12,0.262773599,0
38.797466 34.168083 48.772644 19.261934 56.361717 67.968704 56.632854 60.29246  34.41667  48.010563 63.293415 45.84114 ,5431.7285,73.7002613,0.55229753,weighted24,12,0.000933004,0
40.281086  22.705711  38.33418    0.5174925 13.668198  83.50077 44.675987  54.810154  43.111504  53.729073  85.77706   30.904137 ,32179.264,179.3857956,0.80742043,weighted24,12,0.261729104,0
27.367157 35.40741  44.690876 17.310772 27.968021 75.909676 50.307796 50.365993 60.739944 76.05462  64.16341  32.324867,9573.4795,97.84415921,0.63525397,weighted24,12,-0.575521046,0
15.232935 27.609928 61.296284 13.99591  12.359423 64.435844 36.71931 35.108955 63.421093 75.97611  63.12665  30.436386,9124.661,95.52309214,0.695956,weighted24,12,0.470109405,0
26.123266 46.98086  47.623417 22.318306 52.05645  54.003952 59.369965 52.952923 53.633667 42.409668 29.208399 45.79538 ,3108.6243,55.75503805,0.5366233,weighted24,12,-0.171241871,0
40.83785  34.94072  74.09068   9.372079 20.459967 58.965836 47.67282 39.46     48.915924 52.58686  65.726006 35.319252,5875.77,76.65357147,0.62963074,weighted24,12,0.179901976,0
36.815834 42.140312 43.60577  14.787437 56.876278 54.586586 62.44519 49.80721  46.272903 59.246704 63.13284  22.483818,7641.162,87.41374096,0.63334477,weighted24,12,0.341580158,0
45.196922 22.080948 25.11029  17.435972 22.348646 83.366974 44.30029 70.898026 61.914444 56.327354 76.3328   50.249374,9052.349,95.14383129,0.64575183,weighted24,12,-0.51510372,0
 9.742015 44.677902 42.043358 31.56814  58.730213 62.862343 62.695683 15.433429 40.54131  63.558784 59.47749  11.861973,1909.1078,43.69333803,0.40916094,weighted24,12,-0.379958313,0
39.832317 37.94263  60.19295  10.558221 45.408596 67.4991   28.259571 52.236923 90.38982  68.996315 75.67577  34.851925,901.7072,30.02844009,0.3332131,weighted24,12,0.531241249,0
36.75126  32.85296  35.570152 47.872414 73.73084  75.33871  52.07727 72.21204  43.109966 64.575775 40.567516 54.97834 ,2565.588,50.65163266,0.42998764,weighted24,12,0.203303438,0
48.68811   8.501103 25.276878 11.32385  47.705486 74.68125  39.530582 55.46539  56.143967 49.803303 54.582993 57.277897,9460.226,97.26369099,0.65882856,weighted24,12,0.062388191,0
21.981567 36.208477 37.70574  40.992653 25.167177 68.41735  45.35535 38.935204 51.68061  57.72837  33.624058 48.26104 ,400.9777,20.02442737,0.35616365,weighted24,12,-0.573392741,0
29.679657  34.99115   67.77215   50.196587  40.73355   65.771194 38.446533  37.604317  54.99948   70.707344  34.374687   7.6094384,338.026,18.38548343,0.3517932,weighted24,12,-0.024092013,0
32.526756  38.53116   84.0299    61.551605  54.587234  57.754185 26.464228  27.707243  67.20726   55.970413   3.3016655 38.925144 ,574.5013,23.96875637,0.4690623,weighted24,12,-0.397970645,0
 8.38609   52.39117   63.131817  72.93396   60.758896  44.320892 53.12967   27.321562  76.65973   46.42696   -5.0085526 63.21007  ,721.9783,26.86965336,0.33918974,weighted24,12,-0.221290058,0
-0.9173828 38.78689   52.62444   65.7937    52.265163  30.691479 53.221447  45.440063  76.323204  38.298042   1.333045  85.3375   ,702.7827,26.51004932,0.35562813,weighted24,12,0.172787663,0
13.54521  40.869453 22.8061   41.546223 64.36205  69.00221  49.32328 62.52471  64.94728  42.442368 43.753162 74.46868 ,708.8428,26.62410136,0.31664923,weighted24,12,0.604074293,0
21.331139 47.533092 26.13249  69.68705  64.41082  51.822132 50.45718 35.20515  57.270645 34.465538 18.769112 64.93036 ,2183.6135,46.7291507,0.475428,weighted24,12,-0.027981276,0
31.479591 24.958422 33.763733 51.3977   34.795498 59.160187 50.240585 27.585424 45.457096 35.62485  17.140709 79.350945,9610.28,98.03203697,0.6983265,weighted24,12,0.218294741,0
45.04441  34.421505 42.635387 23.159786 37.742523 74.76975  48.82881 37.911198 46.21994  27.319246 33.036263 60.539356,8831.107,93.97397204,0.67765784,weighted24,12,-0.050477248,0
13.756885 21.345446 63.75385   6.196243 49.546112 49.629253 61.332993 14.151839 34.103214 43.69619  55.216118 34.57759 ,15915.211,126.155503,0.7603655,weighted24,12,-0.081769201,0
 9.74911  52.596092 65.17485  40.13117  57.33541  54.556366 49.52844 13.006577 51.47879  49.34915  30.539446 31.108528,1168.1453,34.17814014,0.3745222,weighted24,12,-0.517874675,0
39.098248 37.29113  47.789433  9.022523 43.69329  77.25407  42.03273 32.6463   67.76675  61.259373 75.88184  27.36329 ,2137.0225,46.22794026,0.48099986,weighted24,12,0.425631508,0
27.840092 30.444954 39.672215 52.50898  58.991844 36.471195 30.336021 34.2707   73.03082  53.83243   2.441791 78.27648 ,3148.6416,56.11275792,0.531458,weighted24,12,0.140087532,0
19.131615 23.661472 52.18936  23.407223 24.922855 55.997314 31.477394 27.368204 51.30788  54.154423 32.48721  70.87252 ,9662.532,98.29818018,0.71325755,weighted24,12,0.077121928,0
 5.8208632 36.970516  54.379032  41.077362  56.364998  37.07239 49.068684  30.191374  50.24268   51.30011    5.313877  30.416971 ,4053.01,63.66325478,0.5985676,weighted24,12,-0.368242789,0
56.47292  40.325336 63.377018  9.193039 36.950344 57.132233 34.293175 40.61464  58.653492 46.608078 18.596025 72.87657 ,2214.3303,47.05667139,0.48667789,weighted24,12,0.067982352,0
21.462347  15.7026205 52.629772  35.47762   37.43192   39.27116 41.728962  22.78899   35.88787   55.213943  18.638664  68.77845  ,2145.4001,46.31846442,0.5224219,weighted24,12,-0.056008849,0
24.041521  20.717924  44.69621   25.427872   2.2240725 65.81412 27.23075   34.87798   50.509434  55.29911   35.42867   65.94107  ,5805.1226,76.19135488,0.66628337,weighted24,12,0.395574986,0
23.244541 31.158741 27.672047 29.012362 38.337574 43.014076 35.830334 38.160286 66.95985  38.14854  11.336592 69.925995,5524.301,74.32564013,0.65461445,weighted24,12,0.38571172,0
22.925554 23.518976 49.892174 23.844528 24.668316 49.54259  29.458353 32.272297 44.134167 54.260845 20.624985 66.8241  ,10987.995,104.8236382,0.73359805,weighted24,12,-0.485206494,0
30.04215  50.702274 36.55608  15.266041 39.06825  30.30415  60.041775 24.174793 42.81195  31.536068 19.105673 44.819668,5037.117,70.97265098,0.6576607,weighted24,12,-0.127639097,0
 34.66892   16.1245    48.858635  14.950088 -15.946787  59.917812  32.18908   40.825996  43.82298   68.46589   55.385532  38.805515,15363.812,123.9508432,0.7726597,weighted24,12,0.401709323,0
21.22482  37.006584 56.04248  36.13824  19.996532 66.2388   35.920475 49.63631  34.21714  59.46064  36.044514  8.871766,7504.8516,86.63054636,0.6535792,weighted24,12,-0.07826574,0
21.95865   38.545105  79.82569   22.42098   24.48046   59.450172 46.186382  26.724726  41.735886  63.771618  37.13964    3.9502113,1677.9276,40.96251472,0.4932562,weighted24,12,0.290943852,0
