predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
76.21943  57.048794 52.732307 89.52491   5.026294 75.642395 64.58398 75.90987  86.495    78.88295  84.29845  74.11042 ,451.3159,21.24419656,0.2869886,raw,1,0.416536781,0
74.87329   57.343567  55.07829   85.28065    6.9449263 77.30893 61.401287  73.397804  91.64877   82.23906   85.788864  74.492805 ,390.63193,19.76441063,0.2622427,raw,1,0.521463746,0
76.474045  57.22973   61.16833   87.07249    5.2674847 79.23991 59.40591   75.34788   86.52589   83.60158   91.80749   75.03969  ,425.40756,20.6254106,0.26968518,raw,1,0.472750859,0
74.85759  60.52768  65.07713  84.9827    5.97948  81.56806  51.375137 78.38421  86.28512  90.88973  92.91566  73.47385 ,474.1101,21.77406961,0.294628,raw,1,0.386755718,0
71.87637  55.148228 62.420925 85.61809  15.411106 93.071304 42.62487 72.16331  95.04973  94.717896 97.03109  70.45275 ,519.04474,22.78255339,0.2908492,raw,1,0.338293063,0
 71.10823   58.68113   69.08303   82.51239   25.085068  97.34436  43.64685   70.09583  107.804596  91.04449   95.0154    60.930824,535.7612,23.14651659,0.2863989,raw,1,0.204841234,0
 71.65574   60.261093  74.35294   78.906364  25.277721  82.21859  51.052822  72.49629  106.52372   92.93088   93.14955   59.682545,458.12027,21.40374429,0.23298515,raw,1,0.13605873,0
 69.46475   62.175343  73.22155   78.1241    23.932308  69.00648  53.41604   70.78498  100.63179   85.42475   89.66285   62.270107,389.54678,19.73693957,0.18189317,raw,1,0.119017394,0
 66.66126   63.37915   72.14621   74.493454  32.06573   77.2951  51.19979   66.48751  107.12892   78.73117   93.397255  66.623505,351.10056,18.73767743,0.17334497,raw,1,0.209769551,0
 63.957333  67.3349    78.2008    77.16987   32.641323  81.065  49.156082  66.676254 112.78584   71.54144   96.359375  66.48483 ,404.33237,20.10801748,0.19120543,raw,1,0.29067849,0
 63.332146  75.02997   78.43358   81.147934  23.056782  74.90745  49.100662  75.45399  102.334335  57.77313   97.62364   74.56321 ,456.68652,21.37022516,0.1914587,raw,1,0.313745419,0
64.23535  76.15798  78.918106 73.73075  19.852596 69.57741  44.777416 81.3766   89.68696  59.127743 95.76191  73.47853 ,489.76236,22.13057522,0.1857004,raw,1,0.269279014,0
66.2434   80.69361  79.75674  71.83204  28.181643 75.77006  47.14447 80.91364  76.99709  70.313416 95.92925  61.92372 ,415.07645,20.37342501,0.17269868,raw,1,0.122325048,0
 68.06889   85.96951   75.83045   64.76827   33.721134  75.615234  45.12655   81.29747   72.15658   78.54102  100.338425  64.19767 ,378.99097,19.46769033,0.17623991,raw,1,0.403140498,0
 61.504066  84.233475  72.275635  54.560226  36.528633  64.04733  39.127758  81.54151   69.04822   81.72843  109.03111   73.873764,509.7943,22.5786251,0.2207427,raw,1,0.321873988,0
 52.37642   76.74697   75.807785  49.78847   33.743717  54.582714  34.205723  87.46543   63.577026  78.49918  108.58551   82.00285 ,723.35614,26.895281,0.25982562,raw,1,-0.107166819,0
47.821354 69.43828  77.62418  56.249138 33.21271  51.17935  28.469475 92.45631  68.95858  74.443855 95.36319  86.952156,768.31616,27.71851659,0.27196363,raw,1,-0.264229303,0
49.84225  67.999435 76.35051  68.68435  37.642857 56.010654 28.53575 82.884926 79.4354   72.90569  88.90952  83.82979 ,696.1115,26.38392524,0.23365243,raw,1,-0.684336434,0
50.329144 61.93332  79.107254 63.29982  40.441372 58.383045 37.550472 71.30024  84.0798   82.65144  93.484886 78.689285,638.53436,25.26923748,0.25975108,raw,1,-0.724204607,0
