predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
56.858616 66.37059  47.598408 68.434906 55.05876  81.408806 67.576614 46.835182 35.460155 57.63621  55.521667 47.92952 ,538.69366,23.20977519,0.24401678,rolling6,1,0.231917039,0
58.781124 77.577705 37.692333 67.27743  42.11067  75.89453  55.45701 29.600288 35.292328 67.894424 53.78598  35.80964 ,872.7878,29.54298192,0.30721912,rolling6,1,0.04663312,0
69.46025  70.77228  45.06649  70.82597  48.2236   68.52166  54.96075 21.11446  36.94771  45.754524 53.22101  52.713375,776.5103,27.86593467,0.28195238,rolling6,1,0.17282786,0
57.62544  69.4843   47.915768 82.12548  46.779762 67.40069  67.42942 22.09815  35.413105 48.972805 44.213238 52.164864,630.53986,25.11055268,0.26721656,rolling6,1,0.493773275,0
37.93287  46.61139  57.801056 76.9981   54.724323 68.863464 80.308975 30.296722 55.9379   50.31567  38.69069  52.433453,645.804,25.41267432,0.25409672,rolling6,1,0.227512908,0
49.157547 44.466755 62.7137   83.52848  54.21421  60.69429  82.42266 56.92865  51.928406 58.337612 39.531666 55.6319  ,480.8079,21.92733207,0.21234705,rolling6,1,0.085680137,0
40.644016 31.49952  62.904915 87.48226  52.56759  57.279045 81.41936 56.173462 63.726593 50.61682  48.25328  55.68017 ,597.227,24.43822804,0.23086406,rolling6,1,-0.213602686,0
43.306934 28.353563 77.27119  76.13104  51.907    51.10975  71.84875 52.10368  52.13481  50.460922 47.522514 50.20901 ,434.1484,20.83622823,0.16978846,rolling6,1,-0.085227366,0
71.188896 38.594284 89.94263  69.303955 42.574154 69.1736   65.93481 58.339317 57.761127 56.61953  68.788895 57.22299 ,276.62323,16.63199417,0.24847405,rolling6,1,0.115674976,0
83.68571  51.943623 74.096085 55.95889  42.47918  68.19192  60.435978 39.54894  50.34554  61.341984 80.35533  50.32751 ,184.45538,13.58143524,0.20522185,rolling6,1,0.411119428,0
84.89796  56.08702  62.77385  36.679157 51.364582 63.969555 67.60694 52.054855 49.530453 43.968403 85.09319  64.44255 ,222.63295,14.92088971,0.22036718,rolling6,1,0.344797026,0
84.52049  50.95084  59.29038  34.917988 52.99194  61.82993  70.8409 65.3011   46.31601  60.895306 78.245285 44.993366,232.51959,15.24859312,0.2510529,rolling6,1,0.254178652,0
94.66337  58.624313 62.033978 32.474617 68.43543  60.335648 76.3581 85.34303  31.472332 64.05484  81.047264 36.98449 ,505.63895,22.48641693,0.3970573,rolling6,1,0.296666046,0
94.19591  48.314747 53.860916 29.641256 59.432823 64.21826  66.721176 90.62253  31.040043 56.379868 87.12898  37.61905 ,512.5411,22.63937006,0.37182415,rolling6,1,0.409294719,0
92.42484  35.56283  75.41013  29.382374 69.14922  62.795612 61.33601 98.535645 30.49903  43.93722  89.26961  53.5142  ,651.2133,25.5188816,0.4293641,rolling6,1,0.339869959,0
93.988625 52.926918 76.16341  35.96605  66.23949  54.22447  56.920166 93.57562  37.790928 57.045437 82.770004 35.038086,552.50995,23.50553017,0.3778216,rolling6,1,-0.129823142,0
93.12734  59.995647 85.30842  34.98494  71.184456 48.32276  70.581856 87.90956  52.344666 38.914925 81.83143  46.19564 ,589.4676,24.27895365,0.40027404,rolling6,1,-0.381390319,0
83.7173   68.901505 82.986725 40.102768 69.00897  47.75902  95.08476 89.09707  65.13671  41.792744 78.90889  37.617153,656.26215,25.61761398,0.44247255,rolling6,1,-0.377908448,0
 86.58973   71.8279    70.308586  45.456394  51.204395  62.28028 102.34358   98.30069   64.693436  45.35654   82.258835  34.70967 ,716.38837,26.76543231,0.4242815,rolling6,1,-0.268169699,0
 96.682144  67.36197   69.37397   50.39241   56.745224  46.975998  91.864044 102.605896  54.57482   54.92383   75.225464  35.64489 ,661.14,25.71264309,0.36212337,rolling6,1,-0.389420032,0
 91.42029   66.9325    70.43857   51.148117  58.438324  55.093388  84.12792  110.49041   53.03831   42.996647  77.08641   53.922707,599.24493,24.47947986,0.34215263,rolling6,1,-0.181116881,0
102.264114  60.067055  81.31627   56.569424  69.28307   56.540085  82.19985  107.69493   28.784931  41.7952    62.75709   57.268116,730.52924,27.02830435,0.3950095,rolling6,1,-0.33515569,0
103.05849   73.24469   89.2289    58.284084  61.03066   75.56934  93.438034 123.11048   31.134882  49.018078  72.486725  54.418957,1049.5973,32.39748895,0.48689386,rolling6,1,-0.400531451,0
 99.10669   78.16176   76.691666  47.685955  64.782005  85.11176 104.54116  105.39577   43.416256  51.530376  91.05491   60.498653,847.4082,29.11027659,0.44197372,rolling6,1,-0.168507645,0
