predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
  3.3142068  73.409035    6.3857074  25.97979    28.777843   42.101402  47.989704   54.61484    -2.99293    70.2073    -37.751274   43.30961  ,3032.542,55.06852088,0.6438594,weighted12,24,0.206531734,0
 -9.57787   85.35307  -10.680137  29.607157  30.96249   -8.924249  31.863031  44.091724 -11.681061  64.23731   35.454742  31.372486,1915.9928,43.77205499,0.6694393,weighted12,24,0.227371721,0
-13.858537  70.43481  -17.757576  39.532204   5.620365  62.900032  85.04788   62.112877 -27.252417  71.305275  -8.016398  35.26079 ,4123.1772,64.21197121,0.63705415,weighted12,24,0.220465827,0
  1.0951283  68.34841     0.3012765  30.377203    7.931313   49.583126  67.64921    53.40403   -26.211233   70.34515     7.010684   27.311028 ,6902.7114,83.08255789,0.7228667,weighted12,24,0.11996801,0
11.058238  46.534767  16.1611    54.19586    7.393707  68.11878 56.427494  55.289146  -1.3628823 62.22376    2.8151066 23.546642 ,7596.649,87.15875702,0.71771413,weighted12,24,0.310542426,0
 61.041866   68.06453    67.22011    18.417513   45.152393   71.3171  19.803713   57.342415   -2.8589127  52.285587  -11.491037   32.151276 ,7217.164,84.95389375,0.6783903,weighted12,24,0.445554328,0
 50.81776    90.5983     26.666239   -3.1305087  50.5534     77.400444  38.428238   79.61017   -15.961721   82.52514    -5.906919   27.727633 ,8063.098,89.79475566,0.66042185,weighted12,24,-0.046677221,0
43.746853   80.821785   20.13847    39.838306   12.192382   67.7831 27.788502   81.20716    -3.186795   77.874275    0.19297138 21.42276   ,15637.027,125.0481001,0.72400355,weighted12,24,-0.190767575,0
 51.208374 105.993805  33.86864   14.178706  40.44787   66.820274  35.63186   60.75107  -29.156336  73.28538  -16.194561  29.410757,13848.001,117.6775296,0.74065995,weighted12,24,-0.071298154,0
 13.928869  61.971497  39.580788  16.966805  43.339226  58.86216  37.46433   69.941536 -11.169664  62.917755  16.619598  22.917757,11524.974,107.35443,0.74269176,weighted12,24,0.007646599,0
57.47021  99.7972   50.64997  21.539995 19.1596   63.39544  28.021126 69.856316 -4.850546 75.81855  14.379053 12.242317,1526.453,39.06984775,0.4750196,weighted12,24,-0.327572524,0
 16.060446  54.62837   47.221863  23.76405   42.87101   59.415005  36.97953   66.14452   16.688808  42.477665 -17.311764  35.546963,5052.1294,71.07833281,0.64334697,weighted12,24,-0.272614,0
 19.995998  74.992325  29.695848  36.477856  47.68761   54.36913  41.560616  57.02508   13.370232  56.49791  -10.789115  41.556145,19214.729,138.6172014,0.77290875,weighted12,24,-0.290175919,0
 46.40199  108.50541   23.422157  26.868462  75.12619   50.14757  43.61723   68.48636  -31.708189  76.31229  -31.370386  51.817287,35014.49,187.1215869,0.81515336,weighted12,24,0.295529095,0
 53.225994 106.00983   75.54879    9.851957  36.53078   56.02478  30.08445   81.154945 -10.137433  74.50546   14.891701  21.841444,1642.7104,40.53036453,0.48947346,weighted12,24,-0.323194803,0
36.327564 65.73123  59.98701  36.22402   2.672359 61.897602 29.190882 42.270786 20.102917 53.816143 -9.902669 31.124311,21863.365,147.8626567,0.7766054,weighted12,24,-0.3224877,0
 39.828712 101.34266    8.454511  12.64407   50.485855  38.177902  20.11057   59.42575  -21.017199  60.86154   24.936337  27.532862,8083.444,89.90797433,0.70122963,weighted12,24,-0.196942429,0
 34.525803    88.36595     19.024035    13.872462    49.5622  69.50917     34.122505    74.747        0.36645752  70.53607 -14.966169    39.214405  ,10309.915,101.5377518,0.71072584,weighted12,24,0.276321296,0
 -5.728236  73.91488   19.404507  29.807816  31.419508  47.385063  21.952454  84.53954  -11.946148  61.466316  17.425987  16.754381,8013.682,89.51917185,0.7208105,weighted12,24,-0.142044788,0
17.159473  59.08245   34.98651   29.484882  73.28617   59.869194 20.477272  67.50379    8.504878  54.04071   -0.2503928 55.225567 ,7326.7095,85.59620011,0.6659053,weighted12,24,-0.207616057,0
 21.152573  77.10104   -7.460503  53.030834  17.487587  68.444145  21.789446 153.43129  -34.85188   82.68081    8.953713  25.520853,11609.95,107.7494789,0.6757891,weighted12,24,0.040637942,0
 36.714806  69.42938   38.512558  23.82274   61.39547   55.39155  52.702953  72.259445  -1.680643  54.375267 -16.505753  47.63952 ,4144.0063,64.37395706,0.55584675,weighted12,24,0.119953322,0
 5.387574  73.55076   35.04931   14.242042  53.07657   43.63786 46.36553   89.93736    8.851763  63.839203   1.3540081 34.847107 ,819.0336,28.61876361,0.8320275,weighted12,24,0.043561951,0
 54.765133  109.393265   23.544924   36.608273   -1.517748   48.25346  21.6757     38.196056   13.089091   71.95965    -9.624395    2.0005326,1356.5758,36.83172282,0.8889807,weighted12,24,-0.466488618,0
 25.620739  60.913673  40.395718  42.703865  23.48638   81.08605  41.126457  58.871876  32.212677  46.97409  -14.195349  25.056952,541.27765,23.26537446,0.44555962,weighted12,24,-0.038013451,0
 40.526176  103.30035    21.227745   46.910892    3.9608037  58.311184  17.99231    76.978874    4.607573   73.11315     6.3742895  12.00924  ,6785.3774,82.37340251,0.6524331,weighted12,24,-0.014376038,0
-10.593706  79.801865  14.307082  54.016476  33.761276  83.723465  73.1072    60.51295   25.315256  54.365753 -26.302011  47.16468 ,7822.317,88.44386296,0.6648427,weighted12,24,0.050634947,0
14.933475 65.66704  51.472225 10.005083 42.67494  48.298935 23.95499 35.454388 16.677671 39.16316  21.391788 23.020578,3306.824,57.50499087,0.60793424,weighted12,24,-0.145691861,0
 -3.601796   85.60274    14.180756   45.453262   47.26701    40.372147  38.747807   81.79818     4.2222424  52.820595  -24.150434   37.929558 ,7815.7964,88.40699286,0.6863834,weighted12,24,-0.025824926,0
 3.5513794 66.738914  33.30897   37.68517   28.176765  44.101345 11.2093    51.10075   -7.1630573 63.11088   14.249268   9.428098 ,21836.621,147.7721932,0.8306742,weighted12,24,0.003395201,0
-14.23237   49.707497  20.432274  43.979244  40.003105  26.683968  20.407196  94.62267  -11.59284   59.22813   25.971378  25.744955,8321.915,91.22453091,0.7322457,weighted12,24,0.060131513,0
  2.9971092  55.518024   15.343091   62.821915   40.21693    57.84627  66.242714  121.6196      2.7351377  55.052376    2.938942   26.776045 ,32532.172,180.3667704,0.8108699,weighted12,24,0.46652381,0
 -7.07481   85.70746   10.212714  46.51313   43.91497   39.34876  52.607857  86.64435  -16.999174  86.387115  15.030086  23.564604,10338.364,101.6777471,0.7171497,weighted12,24,0.302301892,0
 -8.4542885  41.64142    31.947838   18.226173   27.101797    3.1709936  19.923105   72.69795   -20.565838   53.480705   31.08362    10.467172 ,9682.669,98.40055358,0.80400354,weighted12,24,0.208339516,0
16.864939  62.452953  27.527193  54.430954  21.728275  32.029453 15.250834  95.40167   -5.3480897 55.31945    8.540237   1.1282359,12115.492,110.0703965,0.7713154,weighted12,24,0.243118123,0
 43.252552  72.16347   35.70467   25.648516  40.82119   59.464138   3.531984 108.79227  -31.183447  71.266365   4.798025  22.258665,2761.9587,52.55434083,0.5408315,weighted12,24,-0.037363632,0
 38.372803   66.28823    12.345908   62.47031    23.737156   72.243454  40.407505  101.427666   17.29497    74.44264     5.4277787  10.599951 ,9411.905,97.01497448,0.6886421,weighted12,24,0.439972192,0
 -7.28203   121.5078     -7.7982855  26.728262   59.2515    -37.031757  33.54732    64.654686  -35.466717   99.014244   31.891405   33.263134 ,2286.373,47.81603337,0.9922597,weighted12,24,0.043637052,0
-12.026317  52.43895   -9.325598  24.457031  10.453492  57.566658  69.67824   61.202408 -10.293696  68.84679   -9.319023  35.820084,1801.9044,42.44884473,0.57298183,weighted12,24,0.343336873,0
 31.458523  59.763367  -2.891305  30.091444  20.906563  76.459946  45.652035 121.12146  -15.187098  60.15969  -11.667493  15.223817,2710.883,52.06614117,0.607863,weighted12,24,-0.026982406,0
11.386338 57.739525 33.123573 55.543175 -0.383476 50.16558  43.917652 77.59326  13.945492 43.50752  -1.95755  20.41549 ,11457.065,107.0376823,0.74720293,weighted12,24,0.020187301,0
 -1.273493   80.44689   -14.85391    51.01404    52.677532   29.954432  40.59369    82.667114  -20.722055   97.360725    4.1641574  58.211533 ,16678.35,129.1446848,0.75376886,weighted12,24,-0.012953697,0
 29.364656   97.5305      7.8316684  46.16137    72.29597    96.08562  57.47269   156.16702   -33.629898   89.56445   -18.436932   39.933456 ,4032.4421,63.50151288,0.5573699,weighted12,24,-0.007285788,0
11.386229  70.3907    26.213106  39.249325  41.99143   50.438454 38.42344   48.22432    8.895986  64.49208   -2.0608723 44.383404 ,10252.751,101.2558688,0.7285306,weighted12,24,0.055252264,0
 25.050238  75.56557   16.711193  39.97324   16.79025   41.334446  -9.976599  94.21729  -33.471626  73.49109   28.662453   7.980009,4536.1987,67.35130831,0.6462373,weighted12,24,-0.116107173,0
 19.019373  75.73684   37.684303  55.634914  37.49997   72.62629  59.362625  77.47574    9.815152  52.91345  -24.49418   34.805332,5934.594,77.03631766,0.6122883,weighted12,24,-0.208418039,0
16.836063 87.56573  38.811382 23.456999 48.18291  33.91418  12.195288 44.764225  9.479285 68.006714  2.247255 38.124187,11549.363,107.467964,0.7477455,weighted12,24,0.066071542,0
 14.975992  69.1577    44.817783  48.48157   55.464718  53.751408  24.339647  69.4451     9.563201  51.68595  -15.87855   40.264675,15469.898,124.3780464,0.74759287,weighted12,24,-0.257397023,0
  4.0067983 101.91044     1.105024   31.353989   63.925026  -18.468525  33.052708   25.27126   -13.309766  106.826126   16.124504   45.874493 ,3273.515,57.2146388,0.6704535,weighted12,24,0.037032802,0
