id,predict_data,mse,rmse,smooth,skip,result_corr
31,53.626747 51.946415 46.845352 66.518524 52.175312 54.01355  61.21074 55.925537 56.043396 52.412872 45.916092 62.473583,98.42587,9.920981444,raw,1,-0.09167526300760565
32,54.439983 51.683273 46.33273  66.85523  52.55543  53.77437  61.013184 55.845284 54.87731  52.543907 45.87716  62.764507,125.967735,11.22353488,raw,1,-0.14300204525886118
33,55.412464 50.755444 45.007797 66.302605 52.081432 53.159046 60.967617 55.97424  54.072433 52.37957  46.08959  61.894085,159.5183,12.63005524,raw,1,-0.1254280021132665
34,55.84343  50.105656 44.702946 66.57808  51.19399  52.787422 61.287743 56.100822 53.97649  52.436    45.729744 62.20093 ,180.39886,13.43126445,raw,1,-0.09515052377536432
35,55.878147 49.78814  44.59167  66.70077  50.584007 52.270348 61.341114 56.1996   53.821404 52.76745  45.68807  62.342003,207.38225,14.40077248,raw,1,-0.02442133007117296
36,54.395477 49.8816   44.87795  66.9763   50.415623 52.32237  62.79526 56.327824 54.44633  53.043274 46.19731  63.1095  ,232.83315,15.25887103,raw,1,0.09420775278812699
37,54.805817 50.873608 46.000797 67.43539  50.752663 51.28547  61.645863 55.83537  53.674877 53.82845  45.72669  62.817368,274.80765,16.5773233,raw,1,0.10902659979276118
38,56.31012  51.4187   46.1905   67.13796  50.310936 50.21355  60.05211 55.0904   52.65444  54.678387 45.433437 62.63373 ,337.17667,18.36237093,raw,1,0.04113231198183656
39,57.069923 51.175148 46.55156  66.46806  50.049732 50.057224 60.329628 54.24383  53.054573 55.30869  45.880672 62.82906 ,384.61023,19.61148208,raw,1,0.028478138366180628
40,58.085186 51.786755 46.990414 65.04441  50.929226 49.425404 59.99209 52.80962  53.092285 56.700783 47.195297 62.33147 ,425.81754,20.63534675,raw,1,0.07015564034515487
41,58.989147 52.13048  46.390522 64.4103   51.54029  49.72651  59.356564 52.816544 52.77582  56.08846  48.680786 61.962128,487.38712,22.07684569,raw,1,-0.023301900159596656
42,59.237144 51.820744 46.99046  63.826477 51.754715 50.067013 58.832657 52.952156 53.321346 55.326405 50.48393  61.916412,540.4635,23.24787089,raw,1,-0.10901235067506548
43,58.188778 51.432487 47.657784 64.27034  51.74008  52.263042 59.20378 53.33384  53.30336  54.531246 51.49636  61.132133,583.21124,24.14976693,raw,1,-0.008640895694556477
44,58.69724  52.76273  48.68565  64.33981  52.365864 53.369774 58.753826 53.77756  54.071293 53.299625 51.253735 60.979115,608.60223,24.66986489,raw,1,0.02052933400903051
45,59.23844  52.669567 48.752583 63.669163 52.030094 53.86362  60.06024 52.629677 55.231792 53.07141  51.25446  61.058674,638.8606,25.27569179,raw,1,0.05426730077827181
46,58.52607  52.38426  48.49856  63.04714  51.43887  52.82909  60.407978 51.633266 53.972763 54.227673 50.866558 61.27643 ,710.7365,26.65964199,raw,1,0.19955832346209793
47,57.713055 52.50873  48.19522  61.800816 51.250645 52.534023 59.97868 51.858162 53.331993 54.26157  51.663387 62.040127,756.7037,27.50824739,raw,1,-0.056416526867665
48,57.594162 51.64106  47.03541  62.22648  51.55406  53.30402  60.91057 52.238503 53.997044 53.912666 52.814285 62.576515,760.74634,27.58163044,raw,1,-0.04388340069794602
49,58.211285 49.719685 46.802296 63.342205 52.49381  52.286976 61.709297 50.981655 55.911762 54.991863 52.92837  61.922928,752.65454,27.43455013,raw,1,-0.09144375230986426
50,56.97679  49.280193 48.681236 62.91305  51.228252 50.76482  61.975758 51.712437 56.67885  55.623363 51.57818  62.264263,744.61786,27.28768695,raw,1,-0.1977170916643918
51,56.184593 49.10863  49.348194 62.558937 50.401714 50.076267 62.233852 51.287514 55.915337 55.667477 51.095974 61.452465,732.15405,27.05834534,raw,1,-0.025595368455310574
52,55.712902 49.052937 48.71095  61.643208 51.135185 50.487072 62.859955 50.3694   55.907566 56.36273  50.750336 59.860466,714.97455,26.73900799,raw,1,-0.18286698470695392
53,55.964077 49.983826 48.500458 60.4449   51.31621  51.30211  62.353535 50.172253 56.52346  57.030518 50.55726  59.083607,667.5677,25.83733129,raw,1,-0.2127859191074133
54,57.081196 51.080666 49.91298  61.299355 51.716747 50.899265 61.823334 49.820404 56.60049  57.508076 50.153378 59.67495 ,593.94775,24.37104335,raw,1,-0.06462938511652314
55,57.08573  51.490322 50.783108 62.82969  52.337982 51.070377 62.37125 49.797832 56.485634 56.886013 49.272312 60.557877,545.4269,23.35437603,raw,1,-0.023912746114148523
56,57.709297 50.342873 50.40901  63.55991  52.57815  51.686306 61.595657 51.040245 55.394894 55.907475 48.869545 59.99786 ,542.6892,23.29569078,raw,1,0.02696632717589384
57,60.07891  48.26441  47.94295  62.958027 51.311207 51.291706 60.600395 51.35051  55.140182 55.58429  47.806873 59.11203 ,589.22296,24.27391525,raw,1,0.01255615659059034
58,60.149864 47.835297 46.785553 62.85498  50.465847 50.5355   60.801533 51.98394  54.36845  56.107857 46.99127  59.162647,613.3309,24.76551779,raw,1,-0.013080345350712452
59,58.5456   48.47094  47.66782  63.22581  50.199726 50.14895  61.37615 53.177982 53.815395 56.26316  46.74646  59.79137 ,656.8649,25.62937629,raw,1,0.02429908392973959
60,57.938816 48.72194  47.69079  63.45333  49.82643  49.822025 61.71084 54.089767 53.74969  55.988544 46.71892  60.72081 ,733.93286,27.09119527,raw,1,0.09930099837282662
