id,predict_data,mse,rmse,smooth,skip,result_corr
1265,52.706543 56.806812 47.927876 50.22841  55.856487 50.18507  54.284 51.971207 52.34641  52.70297  54.12544  50.556705,1008.1728,31.75173681,rolling12,1,-0.02298213182274096
1266,52.273136 53.697144 50.13551  51.057175 56.144558 49.116478 51.77993 52.663322 52.35447  55.55152  53.114594 50.859867,1104.0778,33.22766556,rolling12,1,0.1181714739332247
1267,53.345882 55.51334  50.717945 51.06422  55.968807 49.386524 54.535946 52.346603 51.611618 54.164253 53.025444 51.29054 ,1204.0387,34.69926075,rolling12,1,-0.0922046992887611
1268,52.90015  54.95297  51.03611  52.276394 55.0532   49.027496 55.275646 53.299316 52.265163 53.75879  54.730198 51.986153,1302.8424,36.09490833,rolling12,1,0.09914424482952246
1269,54.083775 56.0678   50.126602 51.490772 54.658882 49.62744  56.23614 53.51492  53.19584  53.46271  54.84572  53.015205,1408.7982,37.53396086,rolling12,1,0.11873048865713579
1270,53.789898 55.68177  50.166107 52.168198 53.787643 49.553513 59.085064 54.86624  54.295258 55.25075  52.943913 54.061443,1497.7789,38.70114896,rolling12,1,0.2558348612694333
1271,56.2679   55.63232  52.459625 52.625534 53.64456  49.79954  58.157925 54.867813 53.8284   51.863964 51.285732 54.434364,1631.3589,40.39008401,rolling12,1,-0.2198778772892325
1272,54.73302  54.956417 51.1626   52.776993 52.94799  48.95111  56.933666 55.80816  56.30495  52.589626 52.23005  54.344948,1721.6588,41.49287666,rolling12,1,0.0654222809840264
1273,56.683983 55.28289  52.102676 53.321747 52.11669  49.918736 54.761368 56.89504  55.708664 52.584026 52.47406  54.552406,1771.8419,42.09325265,rolling12,1,-0.27323142685138435
1274,54.57898  55.489456 52.398346 53.78452  52.525433 52.950336 57.636005 55.014523 56.26553  55.51595  51.822456 54.868637,1748.2949,41.81261678,rolling12,1,0.09201040829506957
1275,55.624035 54.13386  53.08296  51.652237 53.798405 51.80783  53.765675 53.281075 57.240578 52.597042 50.330654 52.177044,1834.799,42.83455323,rolling12,1,0.12171332273697352
1276,55.020622 54.619846 52.243706 50.643646 55.964516 55.266445 53.62104 53.851696 56.243538 51.810345 49.815113 53.71818 ,1762.2646,41.97933597,rolling12,1,0.29003054140677315
1277,54.518673 53.968506 53.903248 50.537224 54.94473  54.246258 50.050728 54.0076   56.204758 54.39088  50.50307  52.18517 ,1702.2504,41.25833693,rolling12,1,0.17882514785498402
1278,55.42293  56.64818  50.837044 51.48139  53.991585 55.9738   52.650295 53.808193 56.24853  53.211166 50.9211   54.492954,1545.799,39.31664978,rolling12,1,0.09364853618066188
1279,54.083893 53.981827 51.71999  52.2973   53.1306   55.561428 50.543377 53.453552 56.69387  53.617596 50.4777   53.73435 ,1446.4066,38.03165282,rolling12,1,0.0051974957684514655
1280,54.16569  54.66261  49.946346 50.096577 54.892338 55.40463  51.527374 53.829037 56.787426 52.737473 49.59186  53.12317 ,1303.2815,36.10099021,rolling12,1,0.04422856713816191
1281,54.637165 53.73001  53.600456 52.16654  53.759827 55.692142 51.748177 55.19241  54.90606  53.46315  49.092854 53.140285,1102.791,33.20829739,rolling12,1,0.3160093939982599
1282,54.087746 55.237385 51.92118  52.793507 54.806015 55.641945 51.354424 52.895027 53.90029  52.06049  50.818726 51.71633 ,949.2422,30.80977422,rolling12,1,0.5372559785588173
1283,54.139698 55.230377 50.643116 51.883713 54.73585  54.278576 50.687336 53.219135 54.582348 52.08387  52.42465  50.899963,811.86017,28.49316003,rolling12,1,0.29825988481346927
1284,55.231945 55.170506 52.192406 52.798027 53.779026 54.492947 49.664356 52.82693  53.67142  53.605705 51.799816 51.135166,662.5859,25.74074351,rolling12,1,0.49765154717856097
1285,52.708908 53.186398 53.23481  51.306763 55.26035  52.449074 48.029957 51.04464  55.346355 53.07669  51.08938  49.872936,598.315,24.46047838,rolling12,1,0.21378753358495195
1286,53.81045  53.473034 51.902855 49.5123   54.430504 50.22876  47.45035 52.064754 54.31994  50.562828 52.368168 49.812843,539.6309,23.22995739,rolling12,1,0.3219444393842057
1287,51.543446 53.441483 52.161377 50.411125 53.542664 51.09742  47.826324 52.12809  53.41162  54.142113 53.05081  51.15443 ,482.13574,21.95758963,rolling12,1,0.15833856630183243
1288,52.539066 54.98404  50.393593 49.317574 54.707363 48.680496 50.475803 52.31626  53.14759  54.01682  53.350605 50.618633,470.78418,21.69756161,rolling12,1,0.24990839491151448
1289,53.748135 55.9161   49.44997  51.370106 54.429832 49.94313  54.551395 51.921555 52.446907 52.745106 53.259594 53.64376 ,472.52905,21.73773339,rolling12,1,0.2838292263633572
1290,53.1306   53.335056 50.407116 51.826637 55.585354 47.82664  51.317444 51.45114  52.730843 54.28259  53.43541  52.267204,574.04974,23.95933521,rolling12,1,0.2597666577099902
1291,54.176334 55.23156  50.37929  52.06891  55.673042 48.580193 55.4172 52.20814  51.76825  54.071342 53.85112  53.389404,673.8388,25.95840531,rolling12,1,0.11986269569846265
1292,54.074688 53.931988 53.323105 54.801537 53.381382 48.54263  55.66488 52.389908 51.555786 54.81479  53.82802  54.108833,839.67065,28.97707118,rolling12,1,0.07400007750022991
1293,54.319485 55.702175 50.31068  52.694653 54.47618  48.239914 56.50181 51.65897  53.313293 52.753437 54.389656 53.780464,1069.5261,32.70361024,rolling12,1,0.07554722591800961
1294,55.19084  54.26966  52.303524 52.32063  53.11023  48.050777 57.049507 54.631134 54.524696 53.53921  53.24539  54.91578 ,1288.3934,35.89419776,rolling12,1,0.16766677524761447
1295,55.98761  54.359142 53.444946 53.371037 51.580387 48.039284 56.35404 54.491425 54.871166 53.614594 51.592815 55.726486,1564.1469,39.54929646,rolling12,1,0.021011635139256413
1296,55.065456 54.22761  52.30007  53.264484 52.29852  47.85923  56.317474 54.298824 55.734436 52.854282 51.80893  55.419636,1846.002,42.96512485,rolling12,1,0.0810816942933138
1297,56.029747 53.737648 53.694756 52.57406  51.270634 48.63233  54.462982 55.437405 56.11016  52.32347  51.765823 55.866707,2115.2063,45.991372,rolling12,1,0.006130309622117927
1298,55.078148 55.014236 51.900867 53.577087 51.306164 50.1602   55.32247 54.788795 56.045246 54.88423  51.988453 55.511497,2335.0015,48.32185287,rolling12,1,0.11147716723211822
1299,56.00867  54.568104 54.295128 53.094543 54.089897 52.022648 55.15026 53.00295  54.876186 53.802208 51.047134 54.837833,2576.093,50.75522651,rolling12,1,-0.41668776646575684
