id,predict_data,mse,rmse,smooth,skip,result_corr
0,45.680706 50.01928  46.372826 49.229927 44.61322  43.817383 45.88752 48.91363  47.900005 39.325596 44.432606 51.06523 ,320.69327,17.90791076,rolling12,2,-0.16973989914860535
1,45.51939  48.67506  45.58069  49.53735  43.950603 40.791115 46.32436 46.38415  46.554756 41.263252 45.039604 50.93231 ,460.93344,21.46936052,rolling12,2,-0.15303840549225564
2,43.115204 49.652187 44.903496 48.77698  45.26128  39.95577  45.94886 44.807255 45.964256 42.075737 42.464474 48.04233 ,614.8389,24.7959458,rolling12,2,-0.2501420331581242
3,47.565952 48.620647 44.310368 46.594357 46.365345 43.376938 45.84764 47.788002 45.369434 44.54972  45.323807 46.5619  ,620.5186,24.91021107,rolling12,2,-0.42137188707672
4,50.384663 49.72502  44.88115  44.65498  50.23871  46.23192  45.537617 47.28662  47.8615   47.37173  47.62538  47.840603,534.58026,23.12099179,rolling12,2,-0.22301228696678188
5,46.67368  48.33698  43.677402 47.638172 48.84774  43.421986 44.727436 46.499577 47.408623 44.971073 43.520794 49.31215 ,498.39746,22.32481715,rolling12,2,0.029372471817200776
6,47.874195 49.965435 43.89953  47.263084 48.971035 46.886147 44.309513 48.55067  47.535614 45.033264 43.54643  49.19942 ,340.18375,18.44407076,rolling12,2,0.22042919558960788
7,50.576233 52.24045  45.02371  46.98887  49.355232 49.269943 44.955154 50.822975 47.584732 47.02244  46.976376 48.730156,176.1321,13.27147676,rolling12,2,0.3109414662079609
8,51.247715 51.347134 45.4244   49.6473   48.43598  46.606136 45.898453 50.167507 45.642967 47.08703  47.486443 50.164524,78.06883,8.835656874,rolling12,2,0.4773180048084079
9,48.099327 51.367325 44.72727  48.77758  46.827236 46.782463 45.09964 50.001762 46.0882   45.601704 45.408577 49.64478 ,40.378582,6.354414371,rolling12,2,0.3479175873955831
10,48.12865  51.117146 45.516106 48.04868  45.410206 45.649204 46.479313 51.839775 48.092213 45.168888 47.595806 49.011864,21.740698,4.662692126,rolling12,2,0.30442521192219885
11,48.29488  51.177048 46.4573   48.297234 46.250896 47.399292 46.06514 52.452515 47.28979  44.2959   48.796387 50.3521  ,23.030563,4.799016915,rolling12,2,0.17959648608065923
12,47.92901  51.242794 47.93904  51.2571   46.8693   49.253513 45.78675 51.346203 45.4765   43.141792 47.775    51.803936,43.137455,6.567911006,rolling12,2,-0.17940375636007666
13,49.102413 51.663532 48.73491  51.84595  47.066925 48.601467 46.680595 51.89965  46.66719  43.60071  48.103188 52.841328,55.415936,7.444188036,rolling12,2,-0.25499010029665015
