id,predict_data,mse,rmse,smooth,skip,result_corr
0,45.219807 47.1282   42.529434 48.550156 46.323746 45.66773  40.10162 45.395203 45.480946 46.885555 49.32306  41.614918,806.5195,28.39928644,rolling6,2,-0.053257430220874216
1,47.407104 44.67071  44.70313  48.68635  46.645367 45.779827 42.21661 45.77577  46.000977 43.94803  48.99968  42.915195,886.1907,29.76895487,rolling6,2,-0.16350080076116097
2,46.30051  45.498177 41.741215 49.728294 44.111546 45.182514 41.110718 47.666756 45.040443 45.659676 49.64078  43.881218,917.8042,30.29528345,rolling6,2,-0.21304852414839584
3,46.00655  44.169464 42.14509  49.391144 46.830666 45.40808  41.833973 45.14724  45.00829  46.934967 48.90372  43.93437 ,826.259,28.74472077,rolling6,2,-0.10434662546734719
4,46.907406 45.405067 44.556767 47.118664 48.173527 46.69523  43.7835 46.245296 45.238323 49.923935 47.111576 42.869194,584.45734,24.17555245,rolling6,2,0.009142533471161484
5,46.630627 44.94871  48.15276  46.18754  45.05137  46.064526 47.25546 47.64974  46.177383 47.06694  48.22926  42.864395,322.33633,17.95372759,rolling6,2,-0.023853459200433108
6,45.39341  43.492268 47.185116 44.925716 46.318188 45.532005 46.203724 46.891712 50.975388 43.679386 47.85105  41.223404,152.69481,12.3569741,rolling6,2,-0.19800381391540786
7,45.14594  44.260395 48.50583  48.894302 46.196808 46.378548 42.154713 47.089485 50.407997 42.894405 50.07802  41.442886,57.95787,7.613006665,rolling6,2,-0.09983884778798652
8,46.046143 44.27183  49.038757 47.165424 46.284473 46.27664  44.491646 47.585247 50.689068 45.33867  49.26075  41.183613,26.155998,5.114293522,rolling6,2,-0.22790049419857905
9,45.2946   46.2171   44.896366 45.83036  45.712692 43.09901  44.319267 49.30712  49.62048  49.634243 48.031487 40.928665,29.103363,5.394753288,rolling6,2,0.024648300052907468
10,46.907745 44.711216 44.43211  50.928226 46.1912   44.555473 42.081512 48.8763   48.673477 47.536503 49.54245  41.01715 ,43.30611,6.58073783,rolling6,2,-0.11190972330413862
11,46.371674 44.903164 44.43892  50.592403 46.007275 45.944813 41.556175 47.44054  50.513325 46.935745 49.44349  38.73023 ,84.93995,9.216287161,rolling6,2,-0.23773351039538215
12,45.48329  47.279053 44.162918 48.913857 47.43521  43.867393 43.0231 47.06774  51.15185  45.424816 49.2318   39.278816,131.18102,11.45342809,rolling6,2,-0.11221785453308852
13,45.159977 47.41073  44.238506 50.14831  46.99546  45.101982 41.341446 47.92041  50.79013  47.94518  51.663754 38.701202,155.48643,12.46941999,rolling6,2,0.16809561027403097
14,44.6014   47.81412  44.253624 50.28083  46.51059  44.71847  40.676445 47.642532 49.360916 49.04321  52.41537  39.58943 ,173.93636,13.1884933,rolling6,2,0.10976683198677026
15,44.250793 47.832058 43.974483 50.798744 46.237827 44.903957 39.210964 47.4976   48.058685 50.448086 53.51042  40.955162,184.60231,13.58684328,rolling6,2,-0.21816158812111022
16,44.007675 47.586338 44.145264 51.206127 46.053753 45.228523 37.879932 47.398285 47.492085 51.055386 54.158363 41.3181  ,192.13838,13.86139899,rolling6,2,-0.2591850130862708
17,43.921055 47.49787  44.522415 51.41358  46.77696  45.294426 36.80163 46.440414 47.237587 50.73403  53.708664 41.91616 ,202.49962,14.23023607,rolling6,2,0.17032615033902382
18,43.875008 47.04793  45.343555 51.517708 47.261307 44.85679  36.33903 46.287426 46.812164 50.63524  53.49645  42.11207 ,259.90744,16.12164508,rolling6,2,0.22035132594574056
19,44.1491   46.268177 45.744137 51.981396 47.04138  45.146286 36.070015 46.888474 46.3565   50.597614 53.61039  43.16351 ,372.95883,19.31214208,rolling6,2,0.1466273300909273
20,43.82301  45.764973 45.58739  51.946926 45.76953  44.9267   36.830677 47.454193 45.613033 50.29227  53.266045 42.89999 ,533.1941,23.0909959,rolling6,2,0.10527479725355128
21,43.53617  45.28991  45.015083 51.334846 46.177536 44.666687 37.054626 46.90431  45.36371  49.812172 51.956818 42.805805,727.1968,26.96658631,rolling6,2,0.08079979641621621
22,43.286633 45.18241  45.02954  51.240826 45.613476 44.58656  36.867516 47.058502 44.733162 49.767624 51.486458 42.20054 ,926.4078,30.43694755,rolling6,2,0.1226797781488304
23,42.731976 44.89491  44.74473  50.426044 45.707752 44.61788  37.0822 46.90574  45.74574  49.218784 51.255154 40.9329  ,1115.7281,33.40251711,rolling6,2,0.16834232686320733
24,42.03968  44.615654 44.48343  49.598377 46.39921  44.41295  37.371914 46.341194 46.281075 48.049103 50.824234 39.753933,1272.9305,35.67815217,rolling6,2,0.17022966200387304
25,42.351757 44.580715 44.97851  49.18723  46.863983 44.891903 38.456627 46.019085 45.91809  46.883602 50.77064  39.857685,1329.1674,36.45774758,rolling6,2,0.1917535784963865
26,41.9658   44.5687   44.7181   47.663555 46.14097  44.39557  39.830894 46.182053 45.193245 47.52623  50.14778  39.417847,1339.8544,36.60402123,rolling6,2,0.17041379583055138
27,42.31801  44.840675 43.890175 47.658768 46.076572 44.543587 39.757614 46.66608  44.57969  47.69075  50.00038  40.003174,1263.9786,35.55247724,rolling6,2,-0.0267076280734464
28,42.769417 44.554718 43.748978 48.940758 45.48904  45.765972 38.05117 46.988846 44.323288 47.968864 50.688126 39.528206,1165.386,34.13775017,rolling6,2,-0.13690654028854446
29,43.445854 44.8021   44.03009  48.643597 46.033344 46.286476 37.837196 45.99726  44.716232 47.77398  50.141808 39.742687,1077.3793,32.82345613,rolling6,2,-0.049485398301741916
30,43.751137 44.916668 43.79063  48.059513 46.499886 45.614506 38.07205 45.867184 44.9197   48.68827  49.930172 39.332256,1083.4459,32.91573974,rolling6,2,-0.04573144126964651
31,44.263775 44.73052  43.91032  49.117992 45.826393 45.86613  38.27233 46.570663 44.472958 49.19971  50.722946 40.02656 ,1212.1749,34.8163026,rolling6,2,0.046547893091612114
32,43.772144 44.53305  43.814438 49.155643 44.62487  45.54214  38.758854 46.660236 45.233036 49.22865  50.571426 39.425102,1518.144,38.96336796,rolling6,2,0.08108920227755242
33,43.623    45.016464 43.790623 49.071827 44.51008  45.62139  38.690784 46.615643 45.497566 48.913475 50.01291  40.667053,1959.1334,44.26209917,rolling6,2,0.09151621513732763
34,43.46589  44.958786 45.276367 49.4064   43.18265  46.386242 39.01978 46.636322 45.331192 48.483177 50.484722 40.819088,2499.2456,49.99245549,rolling6,2,0.09341787107123345
35,42.723778 44.96079  45.006954 47.71457  43.558468 45.97306  39.98723 45.76042  46.243473 47.499943 49.652077 40.430588,3116.9993,55.83009285,rolling6,2,0.16017856745387116
36,42.32453  45.183456 45.042416 47.45058  44.10227  45.99549  40.01348 45.739937 46.056957 47.066677 49.900772 40.44871 ,3578.4873,59.82045891,rolling6,2,0.24741311960337609
37,43.12012  43.72644  45.049206 45.7659   44.27779  46.241653 41.366096 45.609325 46.948666 45.799385 49.82545  39.60427 ,3735.1248,61.11566702,rolling6,2,0.37739889364092455
38,44.355568 44.21031  43.719746 47.757088 42.43468  46.93986  41.50164 47.01393  46.260708 45.726597 51.105427 41.19665 ,3525.543,59.37628288,rolling6,2,-0.07455060424843912
39,43.567387 42.372017 44.910366 46.78688  43.94864  43.858654 42.69708 44.478645 46.71385  45.317196 49.37601  36.961636,3232.6853,56.85670851,rolling6,2,0.05922532746518716
40,46.29998  45.343426 40.24325  46.391167 46.04271  45.30128  40.780556 47.706905 45.249504 48.961407 48.196213 42.513885,2654.7048,51.52382783,rolling6,2,-0.27797769887438967
41,45.8157   44.432884 45.704002 48.679913 40.128326 45.794613 43.125317 48.240887 43.381844 50.324936 52.288918 39.80716 ,2110.1707,45.93659385,rolling6,2,-0.11729369533400978
42,46.006485 43.32638  40.79427  42.01644  47.130367 45.895008 43.83066 44.3972   49.469845 48.325478 46.97982  39.712524,1833.505,42.81944657,rolling6,2,-0.28660958524842195
43,45.59283  45.2889   47.165607 50.275993 40.872093 46.405422 39.24818 49.728645 42.904255 48.68097  52.986015 42.831245,1726.4816,41.55095146,rolling6,2,0.19630735224039353
44,46.127506 41.631    47.159718 46.755642 42.35323  46.49729  42.492218 45.746086 49.502155 46.597946 52.48523  42.4209  ,2082.1172,45.6302223,rolling6,2,0.3194305946713522
45,42.048626 47.78194  41.384228 44.45779  41.77551  42.411163 39.65523 47.22712  46.822117 54.12088  48.521526 42.522327,2768.285,52.61449337,rolling6,2,0.38271694325141
46,47.132786 43.232365 48.688816 51.510952 43.2853   46.42902  40.913506 46.72242  43.54602  49.1175   50.79275  45.83966 ,3408.9802,58.38647296,rolling6,2,0.06113225254308584
47,44.20244  44.114544 44.653725 46.03289  40.319546 44.902622 41.703728 45.0921   46.411682 49.46311  46.831207 42.194168,4414.5513,66.44208959,rolling6,2,0.28866549484802584
48,43.5116   45.20446  43.075943 46.36759  43.464146 42.166527 41.4403 45.464386 43.990814 45.834427 46.625683 44.841442,5051.8184,71.0761448,rolling6,2,0.1847403557454776
49,44.415073 41.095196 44.8609   48.778065 42.983932 47.723927 38.56694 45.39544  45.132656 47.484848 49.242737 40.730553,5188.9062,72.03406312,rolling6,2,0.11091600473996566
50,44.7373   42.931545 42.73229  45.625282 41.40506  43.477295 43.550835 45.334652 44.974907 45.490707 47.222004 42.483345,5065.9736,71.17565337,rolling6,2,-0.3100967434066261
51,45.03418  41.384094 41.76108  47.146645 42.595295 43.753246 42.76012 45.70702  44.992737 46.12385  48.267982 40.42586 ,4600.852,67.82958094,rolling6,2,-0.22606447586693013
52,46.750843 40.81472  42.66466  48.189087 42.20974  43.669895 42.81059 45.393898 45.18399  45.937748 49.09499  42.54283 ,3886.465,62.34151978,rolling6,2,-0.26079163808156147
53,48.38768  41.26308  44.315937 46.623318 41.98569  43.287712 46.04849 46.809246 46.480724 45.322636 49.133965 43.33109 ,3188.124,56.46347513,rolling6,2,-0.21449239452334284
54,48.10374  41.2169   45.006775 46.686676 40.61169  44.453228 45.10662 48.058456 48.29126  47.091595 50.380646 43.69094 ,2905.5032,53.90271954,rolling6,2,0.07073804911596981
55,49.122734 40.964207 49.28386  47.538258 41.27502  43.71182  45.29898 49.91557  48.635166 45.9353   50.92494  45.376755,3156.751,56.18497109,rolling6,2,0.3354211583522524
56,48.67549  41.948082 49.347473 48.803284 38.887333 44.958736 43.460155 50.45503  49.115517 47.715027 52.113403 46.3906  ,3910.0088,62.53006308,rolling6,2,0.3951440480929329
57,46.14238  44.22439  47.52902  45.051105 39.72058  42.993973 44.26818 50.02165  47.958336 51.80359  49.847893 45.60672 ,4951.628,70.36780464,rolling6,2,0.4587792875735969
58,47.399788 43.705185 46.855713 47.678307 41.43593  44.304104 41.366165 48.527405 45.97329  51.696014 49.72267  48.63653 ,5839.1543,76.41435923,rolling6,2,0.15113411809816762
59,46.773327 42.628986 46.956505 46.90389  39.451797 43.438347 42.445557 47.50697  45.621593 48.855053 46.758396 45.308247,6545.981,80.90723674,rolling6,2,-0.219591016706198
60,46.09823  43.01651  43.90895  48.323776 39.04023  43.55153  40.333378 49.369766 44.775055 48.0149   47.99138  47.603146,6563.726,81.01682587,rolling6,2,-0.5598661971814791
61,44.71052  42.027477 43.251812 49.983906 39.444557 42.18803  39.66872 46.317535 43.059177 46.602688 49.443108 45.644505,6181.6855,78.62369584,rolling6,2,-0.3805867545818464
62,47.11978  40.65618  40.562256 46.790546 44.464233 44.050575 41.96622 43.794052 45.482082 47.347343 46.382633 44.70894 ,5320.7705,72.94361184,rolling6,2,-0.3564393822978629
63,46.649055 43.110035 44.72068  48.740685 39.14382  43.07847  44.265614 48.685215 41.95844  50.06665  47.72408  41.97959 ,4248.348,65.17935367,rolling6,2,-0.07531419157963411
64,48.90762  41.461758 42.860493 46.3829   42.107613 43.1548   46.85357 47.050762 47.450977 43.508404 47.83856  45.052944,3340.281,57.79516421,rolling6,2,-0.18190517674027484
65,46.676517 42.705387 43.42509  48.066658 39.14526  43.72208  43.779995 48.404957 47.183197 45.99545  49.193306 43.17369 ,2772.6702,52.65615032,rolling6,2,-0.28535782125289233
66,48.80928  40.51754  48.7251   47.972134 41.94584  47.03079  45.2904 47.070927 48.628433 44.899265 51.165375 43.81196 ,2369.6804,48.67936339,rolling6,2,-0.035977690639667326
67,47.470444 43.11636  48.151653 43.969704 39.828217 42.77294  46.079666 50.020084 49.17831  47.610672 49.612984 44.180077,2392.1711,48.90982665,rolling6,2,0.37926144366179165
68,48.85826  41.954437 45.672108 47.43832  39.698612 43.08008  44.031796 50.708706 48.137535 46.20117  50.906948 46.561543,2611.1287,51.09920412,rolling6,2,0.4866951636501401
69,48.442085 41.545128 45.66025  50.837307 37.22554  45.784637 41.532997 50.590176 47.020546 51.814648 51.926964 44.295376,3127.0793,55.92029458,rolling6,2,0.31215630040966014
70,47.86743  44.293007 44.338207 46.714012 41.546413 43.17147  43.92873 47.552727 45.581776 49.912643 47.929344 46.625107,3954.3455,62.88358656,rolling6,2,0.4079961824205977
71,48.65341  44.039978 44.598    47.051186 40.87061  44.14121  43.080986 48.70813  45.27771  51.399937 47.459206 48.11696 ,4744.777,68.88234066,rolling6,2,0.3814854146799994
72,47.42553  43.40006  45.59835  47.06594  39.228893 45.2476   43.533924 48.917786 45.434597 48.923573 47.288067 44.657963,5542.3813,74.44717152,rolling6,2,0.23110058177673598
73,45.07184  42.346077 44.503956 47.66597  39.661217 44.8464   41.14992 47.004375 45.82877  46.02725  48.178627 44.17308 ,5992.648,77.41219509,rolling6,2,0.06326760708585319
74,46.003727 42.479275 44.80531  49.346622 41.925858 43.202896 41.10969 46.856396 45.06759  44.524784 49.150845 45.71253 ,5835.1655,76.38825517,rolling6,2,-0.40698270621575255
75,46.64862  41.961803 42.266033 47.754463 41.51412  43.954323 42.952316 45.62832  44.921295 48.013363 47.764103 44.57716 ,5324.7144,72.97064037,rolling6,2,-0.48652369841567095
76,47.86685  42.94206  42.68851  47.21809  41.711143 42.7478   45.69616 47.369873 43.687958 48.87108  45.957447 45.190063,4491.078,67.0155066,rolling6,2,-0.32721590844526427
77,49.290077 41.105095 45.243618 50.871784 41.09279  44.44516  44.22204 46.95972  45.240105 43.347637 48.99009  46.028713,3551.0813,59.59094981,rolling6,2,0.024078661562104982
78,48.41425  40.909306 45.303185 47.684517 41.052914 44.36961  45.120136 47.90645  47.72948  44.221573 48.30408  44.69671 ,2760.586,52.54127842,rolling6,2,-0.04672130153724732
79,48.48813  41.95652  46.907227 47.37863  41.06188  44.868656 45.148746 49.299213 48.159496 47.168262 50.1982   44.438606,2176.6567,46.65465398,rolling6,2,0.07817203922974772
80,49.001137 41.78167  47.19265  47.337746 40.0575   44.437233 45.50717 50.200527 48.189926 47.560074 50.337856 45.169018,2148.0168,46.34670264,rolling6,2,0.21720251176291788
81,48.903763 41.245327 46.375153 47.91814  38.98944  43.971966 44.624943 50.35395  47.80039  48.010857 50.65331  45.58208 ,2798.9238,52.90485638,rolling6,2,0.28362817100368837
