id,timestamp,raw,rolling3,rolling6,rolling9,rolling13,weighted3,weighted6,weighted9,weighted13
720,187801,5.5,10.86666667,13.73333333,16.9,19.49230769,8.603853855,12.33757161,14.46112325,16.28952403
721,187802,11,6.666666667,13.81666667,14.11111111,17.21538462,9.801926928,11.9554083,13.7688986,15.53387774
722,187803,13.1,9.866666667,11.31666667,12.94444444,17.10769231,11.45096346,12.2824345,13.63511888,15.18618092
723,187804,0.2,8.1,9.483333333,11.85555556,15.59230769,5.825481732,8.830310355,10.9480951,13.04529793
724,187805,9.9,7.733333333,7.2,11.78888889,14.33076923,7.862740866,9.135935968,10.73847608,12.59596966
725,187806,10.7,6.933333333,8.4,9.855555556,12.37692308,9.281370433,9.582811406,10.73078087,12.32511685
726,187807,0.2,6.933333333,7.516666667,8.633333333,10.57692308,4.740685216,6.902008147,8.624624692,10.5929573
727,187808,0,3.633333333,5.683333333,6.011111111,9.807692308,2.370342608,4.930005819,6.899699754,9.079677685
728,187809,8.8,3,4.966666667,6.6,9.676923077,5.585171304,6.035718442,7.279759803,9.03972373
729,187810,1.9,3.566666667,5.25,6.2,7.661538462,3.742585652,4.854084602,6.203807842,8.019763197
730,187811,6.8,5.833333333,4.733333333,5.733333333,7.323076923,5.271292826,5.41006043,6.323046274,7.845511312
731,187812,0.9,3.2,3.1,4.377777778,5.576923077,3.085646413,4.121471736,5.238437019,6.85329541
732,187901,1.6,3.1,3.333333333,4.533333333,5.430769231,2.342823207,3.40105124,4.510749615,6.102824637
733,187902,0.9,1.133333333,3.483333333,3.533333333,5.076923077,1.621411603,2.686465171,3.788599692,5.359563975
734,187903,0,0.833333333,2.016666667,2.344444444,4.230769231,0.810705802,1.918903694,3.030879754,4.593911978
735,187904,10.4,3.766666667,3.433333333,3.477777778,4.023076923,5.605352901,4.342074067,4.504703803,5.423353124
736,187905,4,4.8,2.966666667,3.922222222,4.315384615,4.80267645,4.244338619,4.403763042,5.220016964
737,187906,8,7.466666667,4.15,3.833333333,4.169230769,6.401338225,5.317384728,5.123010434,5.617157397
738,187907,12.6,8.2,5.983333333,5.022222222,4.315384615,9.500669113,7.398131949,6.618408347,6.614706341
739,187908,17.9,12.83333333,8.816666667,6.255555556,5.676923077,13.70033456,10.39866568,8.874726678,8.226891149
740,187909,10.1,13.53333333,10.5,7.277777778,6.453846154,11.90016728,10.31333263,9.119781342,8.494478128
741,187910,20.4,16.13333333,12.16666667,9.366666667,7.346153846,16.15008364,13.19523759,11.37582507,10.19526697
